Date,Open,High,Low,Close,Volume
2026-01-02,0.52829,0.53213,0.52748,0.52954,32641
2026-01-05,0.52702,0.53277,0.52702,0.53062,37745
2026-01-06,0.53085,0.53622,0.53076,0.53532,32378
2026-01-07,0.53523,0.53771,0.53435,0.53536,34239
2026-01-08,0.5354,0.53651,0.53313,0.53426,32032
2026-01-09,0.53476,0.53577,0.53328,0.53494,33084
2026-01-12,0.53292,0.53605,0.53292,0.53424,32650
2026-01-13,0.53428,0.53653,0.53399,0.53428,32572
2026-01-14,0.53467,0.53749,0.53323,0.53374,35532
2026-01-15,0.53366,0.53659,0.53279,0.53606,15944
