Date,Open,High,Low,Close,Volume
2020-01-02,0.70125,0.70198,0.69785,0.69898,24938
2020-01-03,0.69899,0.69915,0.69302,0.6945,29089
2020-01-06,0.69415,0.69577,0.69254,0.69415,25486
2020-01-07,0.69387,0.69422,0.6859,0.68685,27952
2020-01-08,0.68655,0.68854,0.68491,0.68673,36699
2020-01-09,0.68653,0.68804,0.68502,0.68579,22444
2020-01-10,0.68569,0.69109,0.68509,0.68987,26557
2020-01-13,0.6898,0.69199,0.68939,0.69033,22481
2020-01-14,0.69024,0.69097,0.68851,0.69033,24499
2020-01-15,0.69013,0.69166,0.68772,0.69063,23406
2020-01-16,0.6903,0.69336,0.68879,0.68964,25510
2020-01-17,0.68998,0.6911,0.68706,0.68712,23250
2020-01-20,0.68732,0.68885,0.68553,0.68747,17333
2020-01-21,0.68725,0.68806,0.68427,0.68447,30600
2020-01-22,0.68445,0.68563,0.6827,0.6844,25788
2020-01-23,0.68443,0.68788,0.68294,0.68479,32952
2020-01-24,0.68453,0.68573,0.68177,0.68259,27226
2020-01-27,0.68121,0.68185,0.67523,0.67598,34432
2020-01-28,0.67601,0.6765,0.6737,0.67627,27710
2020-01-29,0.67619,0.67773,0.67352,0.6752,27075
2020-01-30,0.67512,0.67552,0.67002,0.67223,35411
2020-01-31,0.67215,0.67295,0.66829,0.66867,34345
2020-02-03,0.66853,0.6707,0.66837,0.66921,35371
2020-02-04,0.6691,0.67418,0.66789,0.67392,34231
2020-02-05,0.67391,0.67743,0.67236,0.6746,36669
2020-02-06,0.67464,0.67648,0.67269,0.67305,29475
2020-02-07,0.6729,0.67369,0.66621,0.66762,31824
2020-02-10,0.6667,0.67074,0.66665,0.66844,33016
2020-02-11,0.66844,0.67367,0.66813,0.67138,29851
2020-02-12,0.67137,0.67499,0.67118,0.6737,28837
2020-02-13,0.67366,0.67448,0.67069,0.67191,30250
2020-02-14,0.67167,0.67315,0.67093,0.67138,18033
2020-02-17,0.67219,0.67333,0.67117,0.67125,14853
2020-02-18,0.67123,0.67157,0.66735,0.66881,20750
2020-02-19,0.66852,0.67075,0.66653,0.66782,19674
2020-02-20,0.66722,0.66934,0.66103,0.66127,30270
2020-02-21,0.66153,0.66388,0.65859,0.66266,27851
2020-02-24,0.65912,0.66198,0.65868,0.66039,35489
2020-02-25,0.66023,0.66225,0.65864,0.66012,35351
2020-02-26,0.66018,0.6607,0.65425,0.65446,38676
2020-02-27,0.65432,0.65921,0.65428,0.65692,44065
2020-02-28,0.65684,0.65852,0.6434,0.65055,67444
2020-03-02,0.64778,0.65679,0.64721,0.65418,52532
2020-03-03,0.65332,0.66453,0.65096,0.65828,47665
2020-03-04,0.65815,0.66275,0.65772,0.66253,30880
2020-03-05,0.66251,0.66367,0.65839,0.66176,28923
2020-03-06,0.6612,0.66574,0.65852,0.66436,40308
2020-03-09,0.66027,0.66851,0.63105,0.65853,69403
2020-03-10,0.65776,0.66129,0.64626,0.64999,53132
2020-03-11,0.65034,0.65395,0.64769,0.6484,48886
2020-03-12,0.64865,0.6492,0.62121,0.62361,76702
2020-03-13,0.62306,0.63254,0.61224,0.61776,70429
2020-03-16,0.6217,0.63036,0.60791,0.61187,73113
2020-03-17,0.61106,0.61488,0.59589,0.60001,64607
2020-03-18,0.59995,0.60274,0.57015,0.57752,72574
2020-03-19,0.57645,0.59642,0.55088,0.5743,93265
2020-03-20,0.57406,0.59854,0.56638,0.58008,86559
2020-03-23,0.58013,0.584,0.57,0.58197,80571
