Date,Open,High,Low,Close,Volume
2025-01-29,171.916,172.297,170.921,171.13,47037
2025-01-30,171.042,171.234,169.412,169.62,53131
2025-01-31,169.52,170.613,169.164,170.28,61466
2025-02-03,169.044,170.2,168.549,170.0,71325
2025-02-04,169.98,171.036,169.676,170.51,50153
2025-02-05,170.409,170.623,168.815,169.21,49599
2025-02-06,169.27,169.418,167.148,167.34,46393
2025-02-07,167.259,167.861,165.86,166.356,50518
2025-02-10,166.498,167.562,165.965,166.78,41663
2025-02-11,166.91,167.092,166.408,166.94,37842
2025-02-12,166.883,169.457,166.682,168.99,49025
2025-02-13,168.912,169.742,168.57,169.18,52536
2025-02-14,169.13,169.636,168.625,169.061,44429
2025-02-17,169.472,169.472,167.917,168.17,36803
2025-02-18,168.16,168.841,167.873,168.31,38839
2025-02-19,168.3,168.48,167.41,167.43,53353
2025-02-20,167.365,167.447,166.005,166.67,83512
2025-02-21,166.65,167.745,165.972,166.094,84985
2025-02-24,166.185,167.117,165.952,166.89,97950
2025-02-25,166.857,167.574,166.364,166.877,103106
2025-02-26,166.86,167.409,166.41,166.61,101145
2025-02-27,166.79,167.085,166.191,166.48,103471
2025-02-28,166.62,167.308,165.853,166.523,111852
2025-03-03,166.774,167.993,166.305,166.68,115004
2025-03-04,166.618,168.451,166.074,168.34,136027
2025-03-05,168.33,168.713,166.819,167.08,125882
2025-03-06,167.111,167.666,166.301,167.32,131557
2025-03-07,167.337,168.357,167.022,168.005,125478
2025-03-10,167.476,168.294,166.801,166.937,117121
2025-03-11,166.94,168.275,166.81,167.182,126619
2025-03-12,167.326,168.778,167.317,168.015,102407
2025-03-13,168.042,168.234,166.62,167.408,104128
2025-03-14,167.57,168.545,167.467,167.69,92951
2025-03-17,167.932,169.49,167.924,169.223,90651
2025-03-18,169.335,170.564,169.278,170.042,83911
2025-03-19,170.05,171.031,169.013,169.479,82612
2025-03-20,169.437,169.636,168.108,168.541,89676
2025-03-21,168.635,169.355,168.436,168.811,82081
2025-03-24,169.075,170.665,169.075,170.411,94292
2025-03-25,170.479,170.908,169.574,169.623,97077
2025-03-26,169.687,170.476,169.687,169.922,103451
2025-03-27,169.989,171.411,169.875,171.094,116004
