Date,Open,High,Low,Close,Volume
2020-01-02,1.08296,1.08781,1.0826500000000001,1.08491,29054
2020-01-03,1.08512,1.08586,1.08239,1.08481,33899
2020-01-06,1.0836999999999999,1.08597,1.08311,1.08366,28122
2020-01-07,1.08358,1.08606,1.08094,1.08191,33127
2020-01-08,1.08166,1.08285,1.07824,1.08142,42422
2020-01-09,1.08106,1.08328,1.07948,1.08081,28521
2020-01-10,1.08071,1.08296,1.08006,1.08184,24409
2020-01-13,1.08086,1.08332,1.07975,1.08112,23455
2020-01-14,1.08078,1.08209,1.07596,1.07647,30270
2020-01-15,1.076,1.07766,1.0742099999999999,1.07484,29274
2020-01-16,1.07486,1.07587,1.07332,1.07468,27437
2020-01-17,1.07411,1.07571,1.07309,1.07315,25183
2020-01-20,1.07324,1.0749900000000001,1.07314,1.0742,18787
2020-01-21,1.07419,1.07514,1.07308,1.07349,29119
2020-01-22,1.07326,1.07878,1.07319,1.07382,29450
2020-01-23,1.07364,1.07471,1.07023,1.07164,30645
2020-01-24,1.07093,1.07229,1.07008,1.07066,27791
2020-01-27,1.07022,1.07168,1.06767,1.06837,29350
2020-01-28,1.06807,1.07268,1.06651,1.0725500000000001,25231
2020-01-29,1.07231,1.07378,1.07101,1.07173,23521
2020-01-30,1.07152,1.07227,1.06812,1.0695999999999999,32270
2020-01-31,1.06937,1.07062,1.06768,1.06884,33878
2020-02-03,1.06803,1.06934,1.06636,1.06867,32651
2020-02-04,1.06786,1.07172,1.0678,1.07061,28821
2020-02-05,1.07031,1.07281,1.06905,1.07088,32998
2020-02-06,1.07068,1.07243,1.06957,1.07028,28702
2020-02-07,1.07025,1.07102,1.06795,1.06979,31767
2020-02-10,1.06953,1.07132,1.06604,1.0665,32186
2020-02-11,1.06628,1.06793,1.0649,1.06529,34911
2020-02-12,1.0651,1.06623,1.06311,1.0636700000000001,33536
2020-02-13,1.06335,1.0639,1.06097,1.06173,34832
2020-02-14,1.06154,1.06506,1.06088,1.06371,26922
2020-02-17,1.06374,1.06505,1.06254,1.06288,20262
2020-02-18,1.0625499999999999,1.063,1.06097,1.06101,29976
2020-02-19,1.06107,1.06348,1.06093,1.06321,31178
2020-02-20,1.06314,1.06345,1.06064,1.06141,40234
2020-02-21,1.06151,1.06243,1.06063,1.06113,36694
2020-02-24,1.06075,1.06258,1.05901,1.06252,47237
2020-02-25,1.06215,1.06354,1.05936,1.06196,52132
2020-02-26,1.06141,1.06368,1.05995,1.06263,54986
2020-02-27,1.06268,1.06718,1.06165,1.06482,60336
2020-02-28,1.06465,1.06593,1.05852,1.06465,77961
2020-03-02,1.06311,1.07064,1.06304,1.06798,67847
2020-03-03,1.06552,1.0706,1.063,1.06803,64794
2020-03-04,1.06783,1.0704,1.06205,1.06565,47500
2020-03-05,1.06484,1.06757,1.06166,1.06261,49641
2020-03-06,1.06216,1.06235,1.05751,1.05836,77100
2020-03-09,1.05854,1.06388,1.05423,1.05819,98082
2020-03-10,1.0578,1.06463,1.05679,1.06036,91399
2020-03-11,1.05868,1.06148,1.05721,1.05725,66852
2020-03-12,1.05734,1.05918,1.05413,1.05544,86764
2020-03-13,1.05604,1.06193,1.05499,1.05617,103927
2020-03-16,1.05565,1.05902,1.05378,1.05792,101638
2020-03-17,1.05794,1.06049,1.05454,1.05699,82087
2020-03-18,1.05641,1.05862,1.05316,1.05634,88137
2020-03-19,1.05574,1.06013,1.0525,1.05359,96365
2020-03-20,1.05322,1.05576,1.05209,1.0542,100723
2020-03-23,1.05289,1.06005,1.05276,1.05586,66766
2020-03-24,1.0552,1.06003,1.05424,1.05891,53783
2020-03-25,1.05788,1.06371,1.0578400000000001,1.06322,54220
2020-03-26,1.06257,1.06536,1.06019,1.06287,56128
2020-03-27,1.06204,1.06352,1.05635,1.05916,54441
2020-03-30,1.05985,1.06035,1.05511,1.0588899999999999,42803
2020-03-31,1.05715,1.06221,1.05623,1.06123,47363
2020-04-01,1.05958,1.06053,1.05578,1.05875,40417
