Date,Open,High,Low,Close,Volume
2020-01-02,0.84581,0.85144,0.84563,0.85041,41068
2020-01-03,0.84992,0.85432,0.84912,0.85314,41411
2020-01-06,0.85283,0.85449,0.84926,0.85037,32213
2020-01-07,0.84966,0.85272,0.84657,0.84967,36009
2020-01-08,0.8492,0.85165,0.84549,0.84791,41547
2020-01-09,0.84755,0.85335,0.84715,0.84995,35524
2020-01-10,0.84982,0.852,0.84794,0.8512,32387
2020-01-13,0.85253,0.85819,0.85217,0.8572,31549
2020-01-14,0.85708,0.85957,0.85399,0.85465,35751
2020-01-15,0.85428,0.85776,0.85376,0.8551,31444
2020-01-16,0.85506,0.85614,0.85095,0.85172,32926
2020-01-17,0.85163,0.85329,0.84877,0.85226,33773
2020-01-20,0.85303,0.85532,0.85205,0.85288,24373
2020-01-21,0.85273,0.85349,0.84938,0.8496,34881
2020-01-22,0.8492,0.85008,0.84239,0.84438,39591
2020-01-23,0.84359,0.84572,0.84168,0.84237,38011
2020-01-24,0.84196,0.8444,0.83875,0.84345,35703
2020-01-27,0.84317,0.8449,0.84088,0.84395,33994
2020-01-28,0.84398,0.84785,0.8433,0.84615,31347
2020-01-29,0.84608,0.84677,0.84469,0.8457,25253
2020-01-30,0.84564,0.84872,0.8412,0.84266,38609
2020-01-31,0.84234,0.84313,0.83871,0.8398,37326
2020-02-03,0.84165,0.85184,0.84067,0.85079,41705
2020-02-04,0.85049,0.85377,0.84644,0.84747,36033
2020-02-05,0.847,0.84908,0.84339,0.84605,37564
2020-02-06,0.84576,0.84972,0.84575,0.84933,34013
2020-02-07,0.84892,0.84975,0.84615,0.84934,37196
2020-02-10,0.84854,0.85043,0.84423,0.84506,37147
2020-02-11,0.84443,0.84586,0.84202,0.84256,42876
2020-02-12,0.8425,0.84288,0.83816,0.83906,37790
2020-02-13,0.83841,0.83999,0.82954,0.83111,43009
2020-02-14,0.83068,0.83439,0.82987,0.83,34898
2020-02-17,0.83091,0.83349,0.83032,0.83324,23567
2020-02-18,0.83261,0.83478,0.82821,0.83024,36285
2020-02-19,0.83004,0.8368,0.82947,0.83635,37197
2020-02-20,0.83598,0.84154,0.83544,0.83722,40699
2020-02-21,0.83682,0.83848,0.8343,0.83713,41672
2020-02-24,0.83581,0.84069,0.8344,0.83938,50182
2020-02-25,0.83925,0.84005,0.83383,0.83695,52358
2020-02-26,0.83651,0.84419,0.83559,0.84325,52581
2020-02-27,0.84291,0.85424,0.84268,0.85349,62136
2020-02-28,0.8536,0.86414,0.85216,0.86006,73269
2020-03-02,0.86186,0.87414,0.85943,0.87297,76574
2020-03-03,0.87277,0.8744,0.86819,0.87162,70402
2020-03-04,0.87132,0.87443,0.86496,0.86509,56093
2020-03-05,0.86499,0.86813,0.8621,0.86742,52082
2020-03-06,0.86692,0.87176,0.86493,0.8654,81160
2020-03-09,0.86711,0.87678,0.86562,0.87237,108728
2020-03-10,0.87083,0.87809,0.86809,0.87417,94820
2020-03-11,0.87422,0.88468,0.87147,0.87875,83996
