Date,Open,High,Low,Close,Volume
2020-01-02,121.897,122.023,120.984,121.268,45532
2020-01-03,121.284,121.377,120.168,120.601,59284
2020-01-06,120.509,121.397,120.277,121.355,51878
2020-01-07,121.261,121.446,120.783,120.926,50429
2020-01-08,120.911,121.382,120.172,121.196,83294
2020-01-09,121.154,121.689,121.11,121.636,50455
2020-01-10,121.63,121.837,121.523,121.784,41149
2020-01-13,121.769,122.491,121.583,122.416,34760
2020-01-14,122.397,122.765,122.187,122.392,47900
2020-01-15,122.35,122.721,122.199,122.543,39257
2020-01-16,122.519,122.872,122.476,122.679,38838
2020-01-17,122.652,122.841,122.124,122.166,37840
2020-01-20,122.132,122.315,122.035,122.26,28335
2020-01-21,122.223,122.372,121.717,121.742,48720
2020-01-22,121.748,122.015,121.614,121.872,45151
2020-01-23,121.823,121.875,120.634,121.068,52712
2020-01-24,121.02,121.266,120.416,120.501,47329
2020-01-27,120.124,120.399,119.905,119.994,64307
2020-01-28,119.979,120.334,119.809,120.31,48181
2020-01-29,120.291,120.423,119.889,120.036,42248
2020-01-30,119.986,120.247,119.777,120.2,64762
2020-01-31,120.18,120.406,120.026,120.22,64554
2020-02-03,120.231,120.379,119.92,120.221,59140
2020-02-04,120.164,120.985,120.064,120.963,52405
2020-02-05,120.883,121.151,120.658,120.808,57503
2020-02-06,120.773,121.02,120.568,120.773,46215
2020-02-07,120.786,120.803,120.093,120.131,51982
2020-02-10,119.998,120.338,119.679,119.773,51334
2020-02-11,119.743,120.025,119.595,119.857,46567
2020-02-12,119.839,120.303,119.615,119.711,46504
2020-02-13,119.708,119.717,118.873,119.049,58813
2020-02-14,119.017,119.229,118.866,118.891,44711
2020-02-17,119.028,119.194,118.906,119.062,31439
2020-02-18,119.031,119.061,118.467,118.588,50109
2020-02-19,118.564,120.496,118.559,120.336,55113
2020-02-20,120.347,121.395,120.094,120.896,71832
2020-02-21,120.891,121.353,120.358,121.035,68603
2020-02-24,120.557,121.069,119.9,120.157,86195
2020-02-25,120.1,120.534,119.413,119.902,101755
2020-02-26,119.818,120.585,119.749,120.116,109316
2020-02-27,120.115,121.038,119.951,120.624,121024
2020-02-28,120.566,120.66,118.381,119.184,143674
2020-03-02,118.827,120.751,118.595,120.601,125122
2020-03-03,120.532,120.948,119.533,119.627,113240
2020-03-04,119.64,120.131,119.024,119.743,97189
2020-03-05,119.733,119.999,118.997,119.33,95829
2020-03-06,119.279,119.427,118.709,118.942,127590
2020-03-09,118.298,118.683,116.124,117.187,156975
2020-03-10,117.027,119.487,116.801,119.153,150615
2020-03-11,119.152,119.226,117.543,117.752,130718
2020-03-12,117.683,118.334,116.31,116.94,153610
2020-03-13,116.978,120.321,116.871,119.912,169765
2020-03-16,119.195,119.891,117.136,118.367,171283
2020-03-17,118.382,119.687,117.295,118.356,181182
2020-03-18,118.358,118.501,116.9,117.925,177422
2020-03-19,117.885,119.323,117.406,118.207,183342
2020-03-20,118.266,119.296,117.841,118.574,186483
2020-03-23,118.514,119.937,117.727,119.33,121483
2020-03-24,118.974,120.535,118.808,120.102,92367
2020-03-25,119.859,121.145,119.514,121.029,92080
2020-03-26,120.957,121.077,119.956,120.919,83520
2020-03-27,120.788,120.989,118.806,120.322,84247
2020-03-30,119.665,119.989,118.799,119.144,71162
2020-03-31,118.913,119.706,118.197,118.639,73334
2020-04-01,118.565,118.873,116.946,117.52,65448
2020-04-02,117.459,117.714,116.348,117.127,68268
2020-04-03,117.048,117.387,116.732,117.274,59352
2020-04-06,117.103,118.307,117.068,117.839,60698
2020-04-07,117.866,119.037,117.509,118.487,64222
2020-04-08,118.441,118.689,117.917,118.143,59683
2020-04-09,118.124,119.002,118.076,118.601,59499
2020-04-10,118.472,118.735,118.243,118.34,41187
2020-04-13,118.653,118.709,117.306,117.547,45495
2020-04-14,117.536,117.939,117.304,117.742,48102
2020-04-15,117.625,117.756,116.799,117.238,48526
2020-04-16,117.129,117.502,116.554,116.909,53786
2020-04-17,116.928,117.413,116.621,116.946,54683
2020-04-20,116.737,117.291,116.71,116.937,43801
2020-04-21,116.858,117.16,116.224,116.989,53292
2020-04-22,116.962,117.221,116.441,116.565,47055
2020-04-23,116.575,116.833,115.639,115.981,52171
2020-04-24,115.901,116.362,115.544,116.36,48359
2020-04-27,116.301,116.51,116.048,116.133,45772
2020-04-28,116.073,116.268,115.605,115.613,44009
2020-04-29,115.62,116.075,115.45,115.937,41718
2020-04-30,115.841,117.777,115.55,117.388,52964
2020-05-01,117.316,117.764,117.019,117.407,43798
2020-05-04,117.087,117.277,116.264,116.316,41790
2020-05-05,116.378,116.569,115.409,115.42,44213
2020-05-06,115.414,115.598,114.429,114.532,44061
2020-05-07,114.483,115.138,114.414,115.122,47643
2020-05-08,115.137,115.744,115.035,115.633,40063
2020-05-11,115.278,116.515,115.268,116.397,44027
2020-05-12,116.341,116.85,115.96,116.232,45107
2020-05-13,116.223,116.412,115.694,115.798,47238
2020-05-14,115.785,115.927,115.325,115.838,48366
2020-05-15,115.87,116.198,115.476,115.943,46639
2020-05-18,115.853,117.242,115.79,117.14,43254
2020-05-19,117.135,118.199,117.027,117.663,46478
2020-05-20,117.659,118.203,117.576,118.072,43598
2020-05-21,118.068,118.524,117.73,117.816,42596
2020-05-22,117.845,117.979,116.995,117.32,40673
2020-05-25,117.211,117.558,117.085,117.367,28108
2020-05-26,117.357,118.335,117.317,118.118,43181
2020-05-27,118.123,118.91,117.705,118.577,55282
2020-05-28,118.542,119.395,118.485,119.234,54969
2020-05-29,119.15,119.9,118.87,119.732,60339
2020-06-01,119.743,119.976,119.424,119.768,52879
2020-06-02,119.773,121.632,119.622,121.375,57130
2020-06-03,121.38,122.621,121.267,122.349,62918
2020-06-04,122.336,123.973,121.847,123.735,63020
2020-06-05,123.742,124.431,123.542,123.697,62221
2020-06-08,123.856,124.12,122.223,122.452,52314
2020-06-09,122.447,122.606,121.337,122.149,59733
2020-06-10,122.165,122.363,121.587,121.869,60920
2020-06-11,121.834,121.904,120.653,120.752,73838
2020-06-12,120.692,121.816,120.255,120.882,73507
2020-06-15,120.565,121.635,120.337,121.536,67398
2020-06-16,121.494,122.116,120.474,120.823,63781
2020-06-17,120.848,121.231,120.162,120.301,58006
2020-06-18,120.267,120.542,119.591,119.877,57049
2020-06-19,119.828,120.214,119.374,119.447,52881
2020-06-22,119.398,120.443,119.315,120.385,47355
2020-06-23,120.339,121.099,119.908,120.45,62935
2020-06-24,120.462,120.749,120.038,120.428,55569
2020-06-25,120.452,120.624,120.142,120.227,56651
2020-06-26,120.23,120.379,119.814,120.284,45071
2020-06-29,120.147,121.359,120.142,120.938,46575
2020-06-30,120.83,121.426,120.588,121.252,51317
2020-07-01,121.248,121.481,120.26,120.902,49336
2020-07-02,120.88,121.438,120.75,120.818,48278
2020-07-03,120.77,120.965,120.612,120.871,39686
2020-07-06,120.785,121.968,120.778,121.438,43413
2020-07-07,121.391,121.718,121.185,121.219,45346
2020-07-08,121.223,121.882,121.14,121.525,44029
2020-07-09,121.503,121.967,120.904,120.959,46596
2020-07-10,120.967,121.066,120.272,120.783,44487
2020-07-13,120.829,121.965,120.795,121.681,44329
2020-07-14,121.661,122.318,121.468,122.228,50131
2020-07-15,122.2,122.5,121.824,122.042,45437
2020-07-16,122.012,122.504,121.814,122.114,46432
2020-07-17,122.069,122.576,121.932,122.283,36956
2020-07-20,122.188,122.975,122.122,122.819,44455
2020-07-21,122.685,123.174,122.471,123.076,45497
2020-07-22,123.081,124.292,123.06,123.985,49479
2020-07-23,123.952,124.241,123.709,123.929,46893
2020-07-24,123.879,123.991,122.841,123.686,52302
2020-07-27,123.421,123.904,123.22,123.828,54909
2020-07-28,123.857,123.985,123.015,123.129,56104
2020-07-29,123.1,123.789,123.018,123.752,50165
2020-07-30,123.676,124.196,123.337,124.092,55017
2020-07-31,124.071,125.208,123.842,124.708,66569
2020-08-03,124.524,125.055,123.997,124.657,56789
2020-08-04,124.601,125.0,124.266,124.782,49411
2020-08-05,124.694,125.514,124.637,125.282,49494
2020-08-06,125.253,125.583,124.679,125.344,53415
2020-08-07,125.258,125.394,124.461,124.832,51132
2020-08-10,124.783,124.884,124.34,124.366,38815
2020-08-11,124.345,125.5,124.34,125.027,52788
2020-08-12,125.058,126.212,124.954,125.972,53484
2020-08-13,125.954,126.753,125.892,126.328,47983
2020-08-14,126.297,126.471,125.745,126.198,35741
2020-08-17,126.157,126.462,125.674,125.845,39598
2020-08-18,125.792,126.08,125.345,125.79,47523
2020-08-19,125.769,126.061,125.382,125.633,52544
2020-08-20,125.63,125.782,125.083,125.476,52052
2020-08-21,125.46,125.559,124.444,124.829,46204
2020-08-24,124.714,125.343,124.69,124.936,38774
2020-08-25,124.947,126.03,124.911,125.918,45515
2020-08-26,125.856,126.142,125.262,125.382,44264
2020-08-27,125.394,126.091,125.139,125.99,56421
2020-08-28,125.948,126.777,125.204,125.424,60350
2020-08-31,125.437,126.846,125.402,126.416,49609
2020-09-01,126.403,127.077,126.139,126.218,53478
2020-09-02,126.232,126.314,125.556,125.893,48766
2020-09-03,125.798,126.022,125.288,125.853,50993
2020-09-04,125.831,125.985,125.304,125.788,50173
2020-09-07,125.857,125.943,125.519,125.564,34112
2020-09-08,125.559,125.65,124.696,124.844,48378
2020-09-09,124.854,125.645,124.426,125.346,49787
2020-09-10,125.31,126.463,125.27,125.401,50381
2020-09-11,125.385,126.124,125.348,125.74,45002
2020-09-14,125.55,125.901,125.287,125.433,35280
2020-09-15,125.413,125.768,124.756,124.916,33723
2020-09-16,124.847,125.013,123.839,124.035,42454
2020-09-17,123.973,124.136,123.317,124.075,47046
2020-09-18,124.068,124.31,123.436,123.825,36520
2020-09-21,123.809,123.94,122.52,123.231,44723
2020-09-22,123.157,123.275,122.657,122.893,42041
2020-09-23,122.861,123.191,122.58,122.862,44073
2020-09-24,122.907,123.159,122.582,123.005,44035
2020-09-25,123.038,123.152,122.612,122.76,40863
2020-09-28,122.69,123.208,122.379,123.086,35483
2020-09-29,123.065,124.119,123.027,124.101,43302
2020-09-30,124.048,124.248,123.531,123.587,52715
2020-10-01,123.572,124.204,123.567,123.985,51391
2020-10-02,123.93,124.008,123.024,123.417,54525
2020-10-05,123.289,124.714,123.268,124.617,40525
2020-10-06,124.602,124.731,123.858,123.937,43202
2020-10-07,123.902,124.875,123.867,124.674,43173
2020-10-08,124.623,124.876,124.366,124.686,37725
2020-10-09,124.671,125.086,124.515,124.946,39084
2020-10-12,124.944,125.013,124.288,124.436,33901
2020-10-13,124.415,124.468,123.807,123.898,40621
2020-10-14,123.902,123.946,123.473,123.52,39989
2020-10-15,123.491,123.773,123.016,123.416,43243
2020-10-16,123.443,123.714,123.119,123.492,40701
2020-10-19,123.418,124.339,123.366,124.101,37078
2020-10-20,123.995,125.001,123.995,124.743,40041
2020-10-21,124.629,124.839,123.913,124.027,44138
2020-10-22,123.951,124.093,123.654,123.966,38338
2020-10-23,123.882,124.231,123.413,124.19,37681
2020-10-26,124.036,124.203,123.776,123.805,38854
2020-10-27,123.794,123.995,123.213,123.216,35689
2020-10-28,123.134,123.187,122.187,122.558,48639
2020-10-29,122.567,122.884,121.895,122.113,48336
2020-10-30,122.091,122.46,121.618,121.906,50805
2020-11-02,121.755,122.153,121.705,121.935,45196
2020-11-03,121.838,122.754,121.809,122.512,43044
2020-11-04,122.392,123.073,121.963,122.529,74732
2020-11-05,122.515,123.18,122.213,122.465,59112
2020-11-06,122.311,122.992,122.221,122.746,57591
2020-11-09,122.842,125.134,122.67,124.483,65587
2020-11-10,124.367,124.603,123.992,124.355,64051
2020-11-11,124.353,124.676,123.921,124.186,47374
2020-11-12,124.088,124.503,123.685,124.104,48880
2020-11-13,124.076,124.302,123.662,123.796,43395
2020-11-16,123.952,124.437,123.628,123.971,43757
2020-11-17,123.91,124.025,123.517,123.578,40517
2020-11-18,123.534,123.635,123.018,123.046,44511
2020-11-19,123.036,123.321,122.847,123.215,46885
2020-11-20,123.186,123.481,123.012,123.142,41030
2020-11-23,123.0,123.828,123.0,123.778,40596
2020-11-24,123.707,124.35,123.664,124.197,44378
2020-11-25,124.135,124.512,124.135,124.448,45150
2020-11-26,124.472,124.568,123.912,124.156,31649
2020-11-27,124.186,124.52,123.902,124.5,36728
2020-11-30,124.462,125.124,124.306,124.44,44757
2020-12-01,124.405,125.954,124.398,125.905,44505
2020-12-02,125.911,126.55,125.781,126.519,47281
2020-12-03,126.488,126.655,126.032,126.144,46673
2020-12-04,126.119,126.682,126.043,126.278,45001
2020-12-07,126.254,126.486,125.971,125.983,44989
2020-12-08,125.985,126.258,125.862,126.084,42953
2020-12-09,126.067,126.518,125.786,125.933,43171
2020-12-10,125.922,126.74,125.8,126.544,48952
2020-12-11,126.543,126.614,125.786,125.993,46033
2020-12-14,126.152,126.514,125.921,126.325,43573
2020-12-15,126.332,126.589,125.957,125.98,41893
2020-12-16,125.985,126.345,125.707,126.174,44903
2020-12-17,126.182,126.52,126.015,126.479,44082
2020-12-18,126.488,127.013,126.387,126.594,43219
2020-12-21,126.519,126.62,125.913,126.39,58421
2020-12-22,126.432,126.658,125.998,126.029,46086
2020-12-23,126.042,126.378,125.939,126.144,44417
2020-12-24,126.162,126.5,126.1,126.24,30930
2020-12-28,126.071,126.957,125.999,126.762,37961
2020-12-29,126.741,127.233,126.686,126.902,36301
2020-12-30,126.824,127.136,126.465,126.948,39885
2020-12-31,126.819,126.981,126.082,126.2,36620
2021-01-04,126.211,126.792,126.098,126.368,53636
2021-01-05,126.291,126.556,126.052,126.306,50578
2021-01-06,126.266,127.243,126.139,127.06,66231
2021-01-07,126.971,127.493,126.916,127.382,53126
2021-01-08,127.324,127.466,126.817,127.072,56479
2021-01-11,126.888,127.086,126.558,126.651,45869
2021-01-12,126.599,126.866,126.539,126.645,47635
2021-01-13,126.673,126.711,126.221,126.288,43403
2021-01-14,126.29,126.526,125.929,126.147,48024
2021-01-15,126.026,126.196,125.405,125.444,43255
2021-01-18,125.484,125.491,125.09,125.238,37471
2021-01-19,125.23,126.21,125.196,126.016,40514
2021-01-20,125.995,126.185,125.27,125.347,40535
2021-01-21,125.322,125.968,125.319,125.943,42464
2021-01-22,125.918,126.4,125.871,126.289,38305
2021-01-25,126.27,126.369,125.809,125.989,38593
2021-01-26,125.928,126.16,125.691,126.012,37355
2021-01-27,126.013,126.19,125.6,126.079,48991
2021-01-28,126.063,126.664,125.988,126.373,52111
2021-01-29,126.287,127.344,126.275,127.092,55789
2021-02-01,127.105,127.134,126.522,126.566,45374
2021-02-02,126.515,126.823,126.27,126.446,43088
2021-02-03,126.404,126.527,126.146,126.405,36960
2021-02-04,126.379,126.463,126.1,126.268,37973
2021-02-05,126.228,126.995,126.166,126.98,39201
2021-02-08,126.799,127.126,126.649,126.794,35872
2021-02-09,126.788,126.849,126.437,126.742,40300
2021-02-10,126.749,127.078,126.647,126.765,38216
2021-02-11,126.745,127.161,126.703,127.068,29816
2021-02-12,127.043,127.305,126.984,127.16,33296
2021-02-15,127.182,127.975,127.146,127.766,28891
2021-02-16,127.797,128.345,127.714,128.311,40414
2021-02-17,128.326,128.453,127.31,127.482,43348
2021-02-18,127.471,127.81,127.329,127.784,38585
2021-02-19,127.799,128.184,127.652,127.75,38118
2021-02-22,127.738,128.243,127.506,127.732,43065
2021-02-23,127.722,128.055,127.656,127.88,42035
2021-02-24,127.798,128.878,127.768,128.808,51462
2021-02-25,128.75,129.975,128.732,129.334,56767
2021-02-26,129.384,129.526,128.562,128.631,64549
2021-03-01,128.575,128.939,128.222,128.641,45406
2021-03-02,128.539,129.078,128.185,128.978,44482
2021-03-03,128.984,129.456,128.744,129.09,43794
2021-03-04,129.047,129.64,128.915,129.279,52423
2021-03-05,129.206,129.578,128.849,129.109,56849
2021-03-08,129.113,129.393,128.782,129.019,47405
2021-03-09,128.967,129.545,128.936,129.113,46778
2021-03-10,129.069,129.429,129.039,129.301,42005
2021-03-11,129.292,130.054,129.215,130.045,43334
2021-03-12,130.022,130.392,129.818,130.308,41683
2021-03-15,130.202,130.486,129.99,130.198,38331
2021-03-16,130.132,130.396,129.49,129.745,35945
2021-03-17,129.692,130.445,129.691,130.416,36770
2021-03-18,130.374,130.665,129.594,129.777,46838
2021-03-19,129.725,129.995,129.32,129.619,39711
2021-03-22,129.021,129.942,128.976,129.871,35879
2021-03-23,129.863,129.919,128.601,128.666,37933
2021-03-24,128.664,128.859,128.293,128.413,36694
2021-03-25,128.423,128.943,128.386,128.471,41077
2021-03-26,128.446,129.46,128.413,129.347,36633
2021-03-29,129.342,129.43,128.832,129.225,35987
2021-03-30,129.142,129.548,129.105,129.298,33664
2021-03-31,129.272,130.046,129.241,129.845,41243
2021-04-01,129.816,130.266,129.651,130.26,35457
2021-04-02,130.208,130.32,130.028,130.095,23495
2021-04-05,130.13,130.266,129.835,130.148,26235
2021-04-06,130.143,130.563,129.813,130.31,38259
2021-04-07,130.301,130.685,130.14,130.37,39013
2021-04-08,130.353,130.48,129.572,130.199,34829
2021-04-09,130.177,130.549,130.051,130.505,34932
2021-04-12,130.348,130.611,129.895,130.296,31916
2021-04-13,130.252,130.499,129.801,130.319,38318
2021-04-14,130.31,130.583,130.033,130.507,35060
2021-04-15,130.459,130.551,130.024,130.139,33492
2021-04-16,130.148,130.541,129.978,130.344,32414
2021-04-19,130.253,130.326,129.7,130.151,40645
2021-04-20,130.152,130.974,129.993,130.093,41280
2021-04-21,130.047,130.142,129.637,130.039,33780
2021-04-22,130.031,130.467,129.671,129.738,38131
2021-04-23,129.706,130.562,129.59,130.509,35696
2021-04-26,130.49,130.761,130.208,130.706,35195
2021-04-27,130.622,131.499,130.569,131.481,33064
2021-04-28,131.448,131.818,131.39,131.699,37543
2021-04-29,131.668,132.366,131.597,132.023,35959
2021-04-30,132.041,132.191,131.377,131.432,36963
2021-05-03,131.483,132.164,131.441,131.571,31589
2021-05-04,131.566,131.638,131.145,131.319,36031
2021-05-05,131.3,131.459,130.986,131.085,31292
2021-05-06,131.091,131.851,131.045,131.589,38419
2021-05-07,131.571,132.174,131.483,132.086,40342
2021-05-10,132.002,132.528,132.002,132.016,38214
2021-05-11,131.904,132.472,131.785,131.952,42336
2021-05-12,131.956,132.422,131.688,132.417,45830
2021-05-13,132.359,132.732,132.036,132.21,45005
2021-05-14,132.205,132.844,132.16,132.819,35570
2021-05-17,132.561,132.952,132.464,132.746,34176
2021-05-18,132.719,133.189,132.685,133.112,34250
2021-05-19,133.067,133.438,132.638,132.949,45008
2021-05-20,132.881,133.09,132.707,133.007,36347
2021-05-21,132.951,133.209,132.537,132.704,36698
2021-05-24,132.613,133.045,132.52,132.868,34101
2021-05-25,132.79,133.609,132.783,133.231,38535
2021-05-26,133.232,133.413,132.997,133.057,36653
2021-05-27,133.027,134.055,132.932,133.921,39066
2021-05-28,133.894,134.002,133.609,133.932,37450
2021-05-31,133.936,134.023,133.662,133.957,28593
2021-06-01,133.934,134.125,133.715,133.718,33332
2021-06-02,133.742,134.072,133.65,133.784,33865
2021-06-03,133.747,133.918,133.627,133.78,33282
2021-06-04,133.759,133.814,133.142,133.251,34141
2021-06-07,133.176,133.384,132.887,133.182,29832
2021-06-08,133.169,133.423,133.134,133.27,30718
2021-06-09,133.29,133.627,133.204,133.519,26265
2021-06-10,133.513,133.759,133.045,133.108,33850
2021-06-11,133.076,133.414,132.664,132.788,32968
2021-06-14,132.726,133.438,132.649,133.405,29252
2021-06-15,133.387,133.681,133.273,133.468,29228
2021-06-16,133.429,133.586,132.687,132.821,35210
2021-06-17,132.729,132.876,131.026,131.252,48023
2021-06-18,131.203,131.43,130.616,130.714,45572
2021-06-21,130.66,131.494,130.043,131.483,45500
2021-06-22,131.457,132.195,131.218,132.149,36350
2021-06-23,132.067,132.694,132.036,132.351,36080
2021-06-24,132.345,132.579,132.117,132.294,33899
2021-06-25,132.243,132.455,132.126,132.238,29604
2021-06-28,132.156,132.347,131.779,131.895,32535
2021-06-29,131.88,131.95,131.28,131.52,31535
2021-06-30,131.404,131.783,131.28,131.779,37067
2021-07-01,131.722,132.431,131.563,132.159,36028
2021-07-02,132.145,132.231,131.679,131.724,33452
2021-07-05,131.608,131.868,131.547,131.618,30533
2021-07-06,131.603,131.862,130.62,130.778,39210
2021-07-07,130.795,131.037,130.427,130.439,40704
2021-07-08,130.454,130.526,129.627,130.014,49167
2021-07-09,129.928,130.877,129.918,130.764,42443
2021-07-12,130.753,130.99,130.454,130.879,34142
2021-07-13,130.9,131.088,130.214,130.301,37389
2021-07-14,130.28,130.43,130.021,130.139,37122
2021-07-15,130.125,130.2,129.613,129.724,39348
2021-07-16,129.661,130.283,129.638,129.96,36490
2021-07-19,129.924,129.964,128.891,129.154,45098
2021-07-20,129.116,129.486,128.598,129.429,46133
2021-07-21,129.373,130.189,129.16,130.079,39336
