Date,Open,High,Low,Close,Volume
2020-01-02,1.12118,1.12246,1.11637,1.11715,27535
2020-01-03,1.11718,1.11799,1.1125099999999999,1.11559,31797
2020-01-06,1.11642,1.12056,1.11573,1.11977,26505
2020-01-07,1.11939,1.11975,1.11337,1.11471,29699
2020-01-08,1.11494,1.11683,1.11049,1.11049,39997
2020-01-09,1.11049,1.11205,1.10924,1.11056,26168
2020-01-10,1.11048,1.11292,1.10852,1.11213,24625
2020-01-13,1.11182,1.11471,1.11126,1.11345,21015
2020-01-14,1.1135,1.11446,1.11046,1.11265,25360
2020-01-15,1.11252,1.11634,1.11186,1.11499,23206
2020-01-16,1.1149499999999999,1.11727,1.1128,1.11358,25034
2020-01-17,1.11348,1.11426,1.10863,1.10895,23624
2020-01-20,1.10901,1.11022,1.10766,1.10968,17329
2020-01-21,1.10936,1.11178,1.10809,1.10812,26071
2020-01-22,1.10824,1.10982,1.10701,1.10945,25356
2020-01-23,1.10919,1.11086,1.10362,1.10587,30784
2020-01-24,1.10537,1.10614,1.102,1.1026,26488
2020-01-27,1.10297,1.10374,1.10096,1.10192,27756
2020-01-28,1.10186,1.10251,1.09979,1.10221,23067
2020-01-29,1.10219,1.10275,1.09923,1.10084,21215
2020-01-30,1.10098,1.10392,1.10066,1.10316,27067
2020-01-31,1.10316,1.10951,1.10168,1.10948,29971
2020-02-03,1.10911,1.10924,1.10356,1.1060699999999999,29237
2020-02-04,1.1057,1.1064,1.10327,1.10447,26432
2020-02-05,1.10443,1.10477,1.09936,1.0999,26888
2020-02-06,1.09987,1.10138,1.09643,1.09807,24067
2020-02-07,1.09815,1.09849,1.09419,1.09429,28794
2020-02-10,1.0942,1.09574,1.09076,1.09106,24694
2020-02-11,1.09097,1.0924800000000001,1.08916,1.0917,25231
2020-02-12,1.09156,1.09255,1.08654,1.08716,26298
2020-02-13,1.08721,1.08886,1.0834,1.08398,26878
2020-02-14,1.08384,1.08611,1.08271,1.08306,27371
2020-02-17,1.08409,1.08509,1.08291,1.08351,19397
2020-02-18,1.08335,1.08375,1.07857,1.07927,29164
2020-02-19,1.0791,1.08117,1.07821,1.08069,29909
2020-02-20,1.0807,1.0821,1.07776,1.07832,37845
2020-02-21,1.07844,1.08634,1.07834,1.08476,37483
2020-02-24,1.08237,1.08718,1.0805,1.08522,48020
2020-02-25,1.08516,1.08903,1.08301,1.08815,50968
