Date,Open,High,Low,Close,Volume
2007-08-21,2.1013,2.1112,2.093,2.1082,6242
2007-08-22,2.1083,2.1196,2.1021,2.1166,6743
2007-08-23,2.1164,2.1191,2.1006,2.1117,7586
2007-08-24,2.1116,2.1202,2.1024,2.1191,6402
2007-08-27,2.1186,2.1234,2.1095,2.1204,5521
2007-08-29,2.1307,2.1431,2.1259,2.1376,7758
2007-08-30,2.1382,2.1469,2.1252,2.1294,7483
2007-08-31,2.1285,2.1346,2.1202,2.1284,7316
2007-09-03,2.1291,2.1297,2.1211,2.1263,4814
2007-09-04,2.1265,2.13,2.1097,2.1132,6266
2007-09-05,2.1118,2.1302,2.1103,2.1289,6882
2007-09-06,2.1292,2.1378,2.1243,2.128,6729
2007-09-07,2.1279,2.1431,2.1203,2.1407,6324
2007-09-10,2.1377,2.1485,2.1297,2.1334,14024
2007-09-11,2.1326,2.1347,2.1135,2.1184,7734
2007-09-12,2.1177,2.1231,2.1021,2.1046,7291
2007-09-13,2.1045,2.1048999999999998,2.0865,2.0928,16620
2007-09-14,2.0927,2.094,2.0638,2.0674,12561
2007-09-17,2.0666,2.0692,2.0453,2.049,16343
2007-09-18,2.0489,2.0499,2.0367,2.0407,19692
2007-09-19,2.0408,2.043,2.0214,2.0282,21117
2007-09-20,2.0285,2.0348,2.008,2.0121,19695
2007-09-21,2.0122,2.027,1.9983,2.0214,18116
2007-09-24,2.0202,2.0298,2.0168,2.0253,12479
2007-09-25,2.0254,2.0291,2.0156,2.0256,17381
2007-09-26,2.0252,2.0354,2.0216,2.0244,17735
2007-09-27,2.0245,2.034,2.0188,2.029,17689
2007-09-28,2.0296,2.0367,2.0202,2.0309,20474
2007-10-01,2.0317,2.0357,2.0237,2.0252,15509
2007-10-02,2.0253,2.0429,2.0251,2.0373,17289
2007-10-03,2.0372,2.0398,2.0252,2.0273,17015
2007-10-04,2.0276,2.0403000000000002,2.024,2.0312,17396
2007-10-05,2.0319,2.0344,1.9982,2.0021,15898
2007-10-08,2.0022,2.0113,1.9984,2.0085,6039
2007-10-09,2.0087,2.0108,1.9950999999999999,1.9984,13606
2007-10-10,1.9985,2.009,1.9981,2.0046,13372
2007-10-11,2.0042,2.0045,1.9786000000000001,1.984,16213
2007-10-12,1.9842,1.9886,1.9767000000000001,1.9783,14284
2007-10-15,1.9769,1.9969000000000001,1.9765000000000001,1.9933999999999998,12403
2007-10-16,1.9936,1.9969000000000001,1.9839,1.9895,16872
2007-10-17,1.9893,1.9973999999999998,1.983,1.9876,16273
2007-10-18,1.9874,2.0014,1.9832999999999998,1.9893999999999998,15681
2007-10-19,1.9893,1.9955,1.9713,1.9832999999999998,15004
2007-10-22,1.9842,1.9967000000000001,1.9806,1.9862,19915
2007-10-23,1.9861,1.9891,1.9716,1.9805000000000001,17736
2007-10-24,1.9806,1.9914,1.9766,1.9844,17068
2007-10-25,1.9841,1.9878,1.9737,1.9809,16096
2007-10-26,1.9811,1.9837,1.9695,1.9746000000000001,12942
2007-10-29,1.9754,1.9808,1.9615,1.9655,14140
2007-10-30,1.9651999999999998,1.9766,1.9639,1.9710999999999999,13547
2007-10-31,1.971,1.9822,1.9569,1.9639,17880
2007-11-01,1.9641,1.9792,1.9586999999999999,1.9748999999999999,20307
2007-11-02,1.9754,1.9776,1.9409,1.9536,18272
2007-11-05,1.9544000000000001,1.9567999999999999,1.9354,1.9407999999999999,14947
2007-11-06,1.9414,1.9433,1.9119000000000002,1.9127,14846
2007-11-07,1.9125999999999999,1.9736,1.9012,1.9627,25081
2007-11-08,1.9619,1.98,1.9428999999999998,1.9665,23235
2007-11-09,1.9666000000000001,1.9771999999999998,1.9522,1.9743,24084
2007-11-12,1.971,1.9964,1.9653,1.9927000000000001,24669
2007-11-13,1.9926,2.0012,1.9729999999999999,1.9867,22912
2007-11-14,1.9866000000000001,1.9928,1.9691,1.9811,23256
2007-11-15,1.9811999999999999,2.0205,1.9705,2.0188,22785
2007-11-16,2.0189,2.0189,1.9897,1.9998,20448
2007-11-19,2.0024,2.0194,1.9872,2.0176,17652
2007-11-20,2.0175,2.0343,2.0092,2.022,21634
2007-11-21,2.0217,2.0414,2.0181,2.0356,18449
2007-11-22,2.0358,2.039,2.0214,2.0313,11764
2007-11-23,2.0295,2.0422,2.0261,2.038,16398
2007-11-26,2.0334,2.0521,2.0271,2.0488,15704
2007-11-27,2.0486,2.0681,2.0358,2.0586,21698
2007-11-28,2.0596,2.0611,2.042,2.0501,20636
2007-11-29,2.0498,2.0619,2.0286,2.0565,19090
2007-11-30,2.0564,2.0659,2.0502,2.0556,18853
2007-12-03,2.0548,2.0718,2.0508,2.0634,15856
2007-12-04,2.0632,2.0909,2.0621,2.0846,18107
2007-12-05,2.0843,2.0902,2.0485,2.0492,21576
2007-12-06,2.0503,2.0647,2.0411,2.0446,20429
2007-12-07,2.0445,2.0626,2.0336,2.0407,17467
2007-12-10,2.0406,2.0702,2.0383,2.0585,13491
2007-12-11,2.0584,2.0752,2.0479,2.0638,16423
2007-12-12,2.0641,2.0823,2.0517,2.0728,19636
2007-12-13,2.0723,2.0856,2.0593,2.083,17478
2007-12-14,2.0828,2.0843,2.0455,2.0517,20498
2007-12-17,2.052,2.0566,2.0213,2.0281,19591
2007-12-18,2.0296,2.0428,2.0203,2.026,18227
2007-12-19,2.0259,2.0346,1.9989,2.0,18296
2007-12-20,2.0006,2.0037,1.9759,1.9834,11152
2007-12-21,1.9836,1.9877,1.9645000000000001,1.9665,14559
2007-12-24,1.9663,1.9705,1.9447999999999999,1.9464000000000001,7719
2007-12-26,1.9512,1.9518,1.9424000000000001,1.9436,2007
2007-12-27,1.9434,1.9614,1.9432,1.9557,6565
2007-12-28,1.9555,1.9644,1.9434,1.9584000000000001,6016
2007-12-31,1.9564,1.9741,1.9498,1.9596,1555
2008-01-02,1.9616,1.9731999999999998,1.9542000000000002,1.9691,12751
2008-01-03,1.9691999999999998,1.9731999999999998,1.9464000000000001,1.9493,17417
2008-01-04,1.9491,1.9818,1.9395,1.9790999999999999,18471
2008-01-07,1.9803,1.9867,1.9667,1.9776,17130
2008-01-08,1.9773,1.9872999999999998,1.9681,1.9808,17970
2008-01-09,1.9809,1.9854,1.9655,1.9771999999999998,19275
2008-01-10,1.9769999999999999,1.9863,1.9703,1.9809999999999999,23914
2008-01-11,1.9811,2.0011,1.9685000000000001,1.9931,21574
2008-01-14,1.9988000000000001,1.9996,1.9857,1.9858,16275
2008-01-15,1.9857,2.0093,1.9857,1.9942,21290
2008-01-16,1.9941,2.0147,1.9923,2.0097,27448
2008-01-17,2.0098,2.035,2.0022,2.0285,25372
2008-01-18,2.0284,2.0314,2.0032,2.0081,21146
2008-01-21,2.0086,2.0141,2.0026,2.0092,17831
2008-01-22,2.0093,2.0244,2.0004,2.0169,24299
2008-01-23,2.0167,2.017,1.9921,2.0026,24648
2008-01-24,2.0032,2.0049,1.9782,1.9795,19566
2008-01-25,1.9804,1.9992999999999999,1.9799,1.9988000000000001,20931
2008-01-28,1.9987,2.0042,1.9887000000000001,1.9925000000000002,16335
2008-01-29,1.9929000000000001,1.9968,1.9752999999999998,1.9851,18761
2008-01-30,1.9866000000000001,1.9904,1.9670999999999998,1.9776,19517
2008-01-31,1.9775,2.005,1.9727000000000001,1.9925000000000002,23306
2008-02-01,1.992,1.9975,1.9489,1.9553,21687
2008-02-04,1.9527999999999999,1.9785,1.9506000000000001,1.9618,15258
2008-02-05,1.9617,1.9806,1.9592,1.9790999999999999,17053
2008-02-06,1.9787,1.9805000000000001,1.9617,1.9735,18824
2008-02-07,1.9731999999999998,1.9758,1.9552,1.9606,21547
2008-02-08,1.96,1.9646,1.9343,1.9433,18328
2008-02-11,1.9445999999999999,1.9565000000000001,1.9342000000000001,1.9539,16545
2008-02-12,1.9538,1.9649,1.9434,1.9588999999999999,15224
2008-02-13,1.959,1.9658,1.9546000000000001,1.9572,17505
2008-02-15,1.9682,1.9799,1.9474,1.9742,17396
2008-02-18,1.9746000000000001,1.9776,1.9596,1.9659,13284
2008-02-19,1.9658,1.9823,1.9546999999999999,1.9819,19246
2008-02-20,1.9817,1.982,1.9651999999999998,1.9659,20826
2008-02-21,1.966,1.9868000000000001,1.9611,1.9851999999999999,19723
2008-02-22,1.9851,2.0,1.9809,1.9915,16529
2008-02-25,1.9943,1.9949,1.9566,1.958,5320
2008-02-26,1.9581,1.9634,1.9426999999999999,1.9495,20397
2008-02-27,1.9496,1.954,1.9404,1.9449,23989
2008-02-28,1.9445999999999999,1.9471,1.9306,1.9414,20129
2008-02-29,1.9411,1.9675,1.9355,1.9645000000000001,22892
2008-03-03,1.9583,1.9706000000000001,1.9489999999999998,1.9614,13046
2008-03-04,1.9615,1.9798,1.9575,1.9738,20011
2008-03-05,1.9736,1.9752,1.9584000000000001,1.9609,19477
2008-03-06,1.9613,1.9856,1.9598,1.9809999999999999,20638
2008-03-07,1.9806,1.9992,1.9644,1.9945,15037
2008-03-10,1.9992999999999999,2.0118,1.9891,2.0004,14516
2008-03-11,2.0005,2.0051,1.9849,1.9904,19640
2008-03-12,1.9908000000000001,2.0079,1.9824000000000002,2.0058,18748
2008-03-13,2.006,2.0143,1.9928,1.9988000000000001,22300
2008-03-14,1.9989,2.0205,1.9872,1.9968,17402
2008-03-17,1.9891,2.0099,1.9796,1.9902,29596
2008-03-18,1.9906000000000001,2.0154,1.9856,1.9891999999999999,26191
2008-03-19,1.9891,2.0155,1.9807000000000001,2.0083,15099
2008-03-20,2.0085,2.0399,2.0062,2.0313,8407
2008-03-21,2.0311,2.0355,2.0268,2.0281,2820
2008-03-24,2.0314,2.0409,2.0128,2.0232,12219
2008-03-25,2.0234,2.0415,2.0166,2.0396,20678
2008-03-26,2.0394,2.0475,2.0171,2.0428,20226
