Date,Open,High,Low,Close,Volume
1993-04-07,2.2517,2.2535,2.25,2.2517,701
1993-04-08,2.2579000000000002,2.2589,2.257,2.2579000000000002,381
1993-04-12,2.2647,2.2647,2.2647,2.2647,1
1993-04-13,2.2529,2.2529,2.2529,2.2529,1
1993-04-14,2.2621,2.2621,2.2621,2.2621,1
1993-04-15,2.263,2.2646,2.2615,2.263,621
1993-04-16,2.2552,2.2572,2.2532,2.2552,801
1993-04-19,2.2584,2.2605,2.2563,2.2584,841
1993-04-20,2.2587,2.2597,2.2577,2.2587,401
1993-04-21,2.252,2.2579000000000002,2.2461,2.252,2361
1993-04-22,2.252,2.2573,2.2468,2.252,2101
1993-04-23,2.2547,2.2564,2.253,2.2547,681
1993-04-26,2.2548,2.2549,2.2547,2.2548,41
1993-04-27,2.2577,2.2657,2.2498,2.2577,3181
1993-04-28,2.2543,2.2573,2.2513,2.2543,1201
1993-04-29,2.2509,2.2575,2.2443,2.2509,2641
1993-04-30,2.2486,2.2523,2.245,2.2486,1461
1993-05-03,2.2415,2.247,2.2361,2.2415,2181
1993-05-04,2.2251,2.2251,2.2251,2.2251,1
1993-05-05,2.2279,2.2358000000000002,2.22,2.2279,3161
1993-05-06,2.2243,2.2303,2.2183,2.2243,2401
1993-05-07,2.2389,2.2457,2.2322,2.2389,2701
1993-05-10,2.2358000000000002,2.2389,2.2327,2.2358000000000002,1241
1993-05-11,2.2365,2.2488,2.2242,2.2365,4921
1993-05-12,2.2449,2.2485,2.2414,2.2449,1421
1993-05-13,2.2367,2.2488,2.2247,2.2367,4821
1993-05-14,2.2326,2.2326,2.2326,2.2326,1
1993-05-17,2.2379,2.2509,2.225,2.2379,5181
1993-05-18,2.2524,2.2646,2.2402,2.2524,4881
1993-05-19,2.2646,2.2719,2.2574,2.2646,2901
1993-05-20,2.2720000000000002,2.2785,2.2656,2.2720000000000002,2581
1993-05-21,2.2754,2.2803,2.2706,2.2754,1941
1993-05-24,2.2696,2.2801,2.2592,2.2696,4181
1993-05-25,2.2552,2.2607,2.2498,2.2552,2181
1993-05-26,2.2604,2.2611,2.2597,2.2604,281
1993-05-27,2.2433,2.251,2.2356,2.2433,3081
1993-05-28,2.2278000000000002,2.2421,2.2136,2.2278000000000002,5701
1993-05-31,2.2245,2.2245,2.2245,2.2245,1
1993-06-01,2.2103,2.2103,2.2103,2.2103,1
1993-06-02,2.2081,2.2203,2.196,2.2081,4861
1993-06-03,2.2036,2.208,2.1993,2.2036,1741
1993-06-04,2.2033,2.2132,2.1935000000000002,2.2033,3941
1993-06-07,2.2103,2.216,2.2047,2.2103,2261
1993-06-08,2.2111,2.212,2.2102,2.2111,361
1993-06-09,2.2191,2.2332,2.2051,2.2191,5621
1993-06-10,2.2253,2.2302,2.2204,2.2253,1961
1993-06-11,2.2184,2.2261,2.2107,2.2184,3081
1993-06-14,2.2236,2.2328,2.2144,2.2236,3681
1993-06-15,2.2184,2.2272,2.2096,2.2184,3521
1993-06-16,2.2281,2.2342,2.2221,2.2281,2421
1993-06-17,2.2312,2.2394,2.2231,2.2312,3261
1993-06-18,2.2428,2.2449,2.2408,2.2428,821
1993-06-21,2.2335,2.2343,2.2327,2.2335,321
1993-06-22,2.2345,2.2357,2.2334,2.2345,461
1993-06-23,2.2296,2.2404,2.2188,2.2296,4321
1993-06-24,2.2282,2.2288,2.2277,2.2282,221
1993-06-25,2.2316,2.2358000000000002,2.2275,2.2316,1661
1993-06-28,2.2427,2.2469,2.2385,2.2427,1681
1993-06-29,2.254,2.2559,2.2521,2.254,761
1993-06-30,2.2553,2.2554,2.2553,2.2553,21
1993-07-01,2.2639,2.2698,2.2580999999999998,2.2639,2341
1993-07-02,2.2776,2.2805,2.2748,2.2776,1141
1993-07-05,2.2841,2.2841,2.2841,2.2841,1
1993-07-06,2.2812,2.2812,2.2812,2.2812,1
1993-07-07,2.2763,2.287,2.2657,2.2763,4261
1993-07-08,2.2658,2.2679,2.2638,2.2658,821
1993-07-09,2.2636,2.2638,2.2635,2.2636,61
1993-07-12,2.2637,2.2673,2.2601,2.2637,1441
1993-07-13,2.2686,2.2702999999999998,2.267,2.2686,661
1993-07-14,2.2686,2.2691,2.2681,2.2686,201
1993-07-15,2.2655,2.2735,2.2576,2.2655,3181
1993-07-16,2.2524,2.2636,2.2413,2.2524,4461
1993-07-19,2.2507,2.2558,2.2456,2.2507,2041
1993-07-20,2.2539,2.2598,2.2481,2.2539,2341
1993-07-21,2.2636,2.2746,2.2526,2.2636,4401
1993-07-22,2.2708,2.2756,2.2661,2.2708,1901
1993-07-23,2.2728,2.2732,2.2725,2.2728,141
1993-07-26,2.2765,2.2836,2.2695,2.2765,2821
1993-07-27,2.2735,2.2821,2.2649,2.2735,3441
1993-07-28,2.268,2.2733,2.2627,2.268,2121
1993-07-29,2.2606,2.2648,2.2565,2.2606,1661
1993-07-30,2.261,2.2616,2.2604,2.261,241
1993-08-02,2.2495,2.2605,2.2385,2.2495,4401
1993-08-03,2.2542,2.2589,2.2495,2.2542,1881
