Date,Open,High,Low,Close,Volume
2020-01-02,144.032,144.191,142.273,142.583,51261
2020-01-03,142.566,142.783,141.001,141.353,78104
2020-01-06,141.168,142.788,140.832,142.703,66422
2020-01-07,142.629,143.295,142.02,142.313,68127
2020-01-08,142.321,143.107,141.124,142.932,96260
2020-01-09,142.847,143.454,142.424,143.097,59662
2020-01-10,143.085,143.499,142.893,143.058,49027
2020-01-13,142.792,142.968,142.365,142.805,49956
2020-01-14,142.761,143.434,142.451,143.192,61380
2020-01-15,143.159,143.386,142.661,143.304,58171
2020-01-16,143.266,144.136,143.224,144.031,54526
2020-01-17,144.003,144.527,143.291,143.321,55302
2020-01-20,143.12,143.363,142.803,143.325,37410
2020-01-21,143.299,143.975,142.865,143.286,60733
2020-01-22,143.264,144.61,143.264,144.321,63511
2020-01-23,144.308,144.412,143.208,143.715,63298
2020-01-24,143.539,144.401,142.719,142.859,65169
2020-01-27,142.464,142.749,142.057,142.176,75136
2020-01-28,142.131,142.455,141.479,142.185,62080
2020-01-29,142.091,142.353,141.709,141.927,55056
2020-01-30,141.748,142.708,141.261,142.64,81079
2020-01-31,142.487,143.289,142.463,143.126,78504
2020-02-03,142.826,143.106,141.072,141.293,79946
2020-02-04,141.188,142.843,140.926,142.729,73014
2020-02-05,142.62,143.376,142.226,142.777,73018
2020-02-06,142.733,142.82,142.09,142.19,63873
2020-02-07,142.165,142.377,141.396,141.426,63397
2020-02-10,141.335,142.092,141.238,141.723,63695
2020-02-11,141.745,142.463,141.678,142.242,62776
2020-02-12,142.157,142.888,142.111,142.664,62199
2020-02-13,142.634,143.477,142.148,143.233,77490
2020-02-14,143.174,143.406,142.765,143.242,60364
2020-02-17,143.114,143.37,142.847,142.873,45716
2020-02-18,142.856,143.232,142.318,142.826,66802
2020-02-19,142.795,144.167,142.777,143.876,65482
2020-02-20,143.87,144.607,143.602,144.391,78790
2020-02-21,144.393,144.959,143.722,144.568,74242
2020-02-24,144.192,144.624,142.636,143.14,93316
2020-02-25,143.054,143.645,142.953,143.251,116937
2020-02-26,143.137,143.724,142.234,142.431,120801
2020-02-27,142.34,142.551,141.294,141.325,131567
