Date,Open,High,Low,Close,Volume
2010-05-10,2.06274,2.06733,2.05312,2.05699,10815
2010-05-11,2.05707,2.08922,2.04969,2.08367,62979
2010-05-12,2.08379,2.09516,2.06919,2.07642,58953
2010-05-13,2.07632,2.0768,2.03626,2.0452,48815
2010-05-14,2.04531,2.06152,2.0356899999999998,2.05442,56489
2010-05-17,2.05619,2.06359,2.03315,2.05945,35322
2010-05-18,2.07145,2.07386,2.0572,2.06896,40531
2010-05-19,2.06917,2.06987,2.06811,2.0696,190
2010-05-21,2.1502,2.1612,2.12087,2.12788,54018
2010-05-24,2.13866,2.15614,2.13099,2.14846,46572
2010-05-25,2.14809,2.17582,2.14031,2.15146,56309
2010-05-26,2.15159,2.18172,2.1354,2.16141,51878
2010-05-27,2.16149,2.17056,2.12002,2.13124,55769
2010-05-28,2.13158,2.14802,2.12316,2.12757,49056
2010-05-31,2.1294399999999998,2.16084,2.11357,2.13151,22688
2010-06-01,2.13091,2.17419,2.12854,2.16709,53491
2010-06-02,2.16673,2.18532,2.14683,2.15008,54852
2010-06-03,2.15008,2.15458,2.12986,2.13953,44747
2010-06-04,2.13953,2.16517,2.13139,2.1536,45693
2010-06-07,2.14798,2.20251,2.14767,2.19586,50717
2010-06-08,2.19534,2.19864,2.15784,2.1644,29072
2010-06-09,2.16425,2.18261,2.16077,2.17651,32042
2010-06-14,2.10688,2.12336,2.10264,2.11982,37587
2010-06-15,2.12018,2.13624,2.11564,2.11782,39369
2010-06-16,2.11787,2.13364,2.10891,2.11177,35992
2010-06-17,2.1116,2.11558,2.09544,2.10187,38738
2010-06-18,2.10222,2.11139,2.09411,2.09787,30216
2010-06-21,2.08633,2.09743,2.07391,2.0838,35138
2010-06-22,2.0838,2.10491,2.07499,2.10355,40239
2010-06-23,2.10229,2.10913,2.08767,2.09703,44175
2010-06-24,2.09703,2.12951,2.09387,2.10708,38937
2010-06-25,2.10715,2.12603,2.09919,2.10663,38661
2010-06-28,2.1052,2.13439,2.10378,2.13034,34079
2010-06-29,2.1303,2.17917,2.1303,2.174,42445
2010-06-30,2.17417,2.18359,2.15784,2.18032,42577
2010-07-01,2.18012,2.21111,2.17606,2.18919,46385
2010-07-02,2.18993,2.2087,2.17793,2.20796,36681
2010-07-05,2.2066,2.21544,2.18846,2.19789,18719
2010-07-06,2.19823,2.21111,2.17619,2.18485,36672
2010-07-07,2.18485,2.1924,2.15509,2.1584,36632
2010-07-08,2.15849,2.16141,2.13286,2.13865,36267
2010-07-09,2.13849,2.14721,2.11528,2.11631,30702
2010-07-12,2.11821,2.12748,2.104,2.10721,29592
2010-07-13,2.10733,2.12483,2.10346,2.10894,35163
2010-07-14,2.10886,2.12819,2.10406,2.10932,35898
2010-07-15,2.10929,2.14086,2.10689,2.1224,39232
2010-07-16,2.12261,2.15871,2.12097,2.15177,34781
2010-07-19,2.15547,2.1753,2.1499800000000002,2.15492,32310
2010-07-20,2.15492,2.16051,2.12679,2.12879,34435
2010-07-21,2.12845,2.13791,2.11369,2.1296,36267
2010-07-22,2.12932,2.13809,2.09906,2.10528,34415
2010-07-23,2.10482,2.1297,2.09856,2.11921,36961
2010-07-27,2.11165,2.13007,2.0981899999999998,2.12926,34965
2010-07-28,2.12964,2.14995,2.12512,2.14311,36088
2010-07-29,2.14817,2.16224,2.14482,2.15491,20650
2010-07-30,2.1551,2.17037,2.14912,2.15838,29136
2010-08-02,2.16233,2.17342,2.1512000000000002,2.17047,32520
2010-08-03,2.17047,2.18046,2.16052,2.17374,32443
2010-08-04,2.17426,2.17943,2.15809,2.16232,33859
2010-08-05,2.16232,2.16375,2.15928,2.16138,328
2010-08-09,2.17804,2.19527,2.1766199999999998,2.18243,30873
2010-08-10,2.18251,2.19512,2.17564,2.19018,46759
2010-08-11,2.19015,2.19907,2.17956,2.19423,51445
2010-08-12,2.19446,2.20586,2.18967,2.19693,46991
2010-08-13,2.19669,2.21161,2.19035,2.20682,22874
2010-08-16,2.20185,2.22525,2.20185,2.2161,40573
2010-08-17,2.21603,2.22103,2.1794000000000002,2.18661,41716
2010-08-18,2.18643,2.18946,2.17412,2.18417,42541
2010-08-19,2.18445,2.2115299999999998,2.17281,2.20378,46108
2010-08-20,2.20374,2.21273,2.19545,2.19642,41592
2010-08-23,2.20134,2.2118,2.1855700000000002,2.19534,35229
2010-08-24,2.1953300000000002,2.20115,2.18319,2.19109,47008
2010-08-25,2.19109,2.22078,2.18504,2.20308,44049
2010-08-26,2.20324,2.21595,2.19587,2.20719,43456
2010-08-27,2.20719,2.21102,2.17287,2.18291,38509
2010-08-30,2.17902,2.19666,2.17232,2.19635,27304
2010-08-31,2.19628,2.21,2.18964,2.19416,43540
2010-09-01,2.19491,2.1952,2.16658,2.16887,41695
2010-09-02,2.16901,2.17491,2.14348,2.15315,38066
2010-09-03,2.15315,2.16037,2.13847,2.14306,33100
2010-09-06,2.14714,2.15022,2.1191,2.12823,22231
2010-09-07,2.12809,2.14082,2.11929,2.13561,45632
2010-09-08,2.13561,2.15261,2.13312,2.13997,44103
2010-09-09,2.14003,2.14663,2.11769,2.12727,39659
2010-09-10,2.12721,2.13048,2.10498,2.10599,37517
2010-09-13,2.09935,2.11874,2.09889,2.10189,37283
