Date,Open,High,Low,Close,Volume
2020-01-02,73.073,73.262,72.54,72.711,31650
2020-01-03,72.711,72.786,71.812,72.036,41585
2020-01-06,71.837,72.348,71.704,72.282,39143
2020-01-07,72.268,72.444,71.81,72.02,34029
2020-01-08,71.998,72.681,71.246,72.568,59440
2020-01-09,72.519,72.723,72.298,72.425,30397
2020-01-10,72.417,72.762,72.298,72.651,28984
2020-01-13,72.705,72.992,72.633,72.889,27039
2020-01-14,72.88,73.037,72.638,72.747,32169
2020-01-15,72.703,72.776,72.355,72.721,27108
2020-01-16,72.707,73.344,72.685,73.076,27560
2020-01-17,73.053,73.299,72.78,72.811,23665
2020-01-20,72.78,72.987,72.629,72.821,18068
2020-01-21,72.791,72.855,72.356,72.452,34100
2020-01-22,72.443,72.703,72.327,72.428,28230
2020-01-23,72.384,72.497,71.917,72.451,35678
2020-01-24,72.42,72.673,72.092,72.214,29926
2020-01-27,71.726,71.875,71.219,71.267,47086
2020-01-28,71.244,71.463,70.926,71.453,35013
2020-01-29,71.44,71.513,71.022,71.157,31528
2020-01-30,71.125,71.197,70.397,70.716,45781
2020-01-31,70.698,70.88,69.995,70.039,47447
2020-02-03,70.148,70.419,69.948,70.241,46746
2020-02-04,70.211,71.203,70.006,71.12,38315
2020-02-05,71.024,71.307,70.82,71.104,40593
2020-02-06,71.075,71.258,70.931,71.023,33254
2020-02-07,71.015,71.096,70.2,70.275,36385
2020-02-10,70.188,70.488,69.998,70.073,37487
2020-02-11,70.052,70.539,70.001,70.299,33647
2020-02-12,70.27,71.343,70.263,71.151,35957
2020-02-13,71.144,71.183,70.656,70.698,44398
2020-02-14,70.686,70.785,70.53,70.629,30656
2020-02-17,70.781,70.816,70.54,70.73,22492
2020-02-18,70.702,70.752,70.095,70.166,34192
2020-02-19,70.15,71.129,70.138,71.087,36143
2020-02-20,71.042,71.186,70.671,70.985,50325
2020-02-21,70.951,71.153,70.276,70.864,44769
2020-02-24,70.339,70.673,70.07,70.187,65349
2020-02-25,70.132,70.528,69.547,69.65,76465
2020-02-26,69.613,69.854,69.379,69.419,82582
2020-02-27,69.394,69.742,69.147,69.154,94325
2020-02-28,69.1,69.295,66.759,67.499,119622
2020-03-02,66.725,67.971,66.628,67.821,99848
