Date,Open,High,Low,Close,Volume
2020-01-02,0.67174,0.67393,0.66845,0.66988,26657
2020-01-03,0.66973,0.67051,0.6644,0.6663,26205
2020-01-06,0.66581,0.66801,0.66442,0.66698,25000
2020-01-07,0.66698,0.66791,0.6625,0.66392,21288
2020-01-08,0.66381,0.66722,0.66176,0.66501,31622
2020-01-09,0.66445,0.66583,0.66001,0.66131,20208
2020-01-10,0.6612,0.66449,0.66017,0.66346,23578
2020-01-13,0.66385,0.66528,0.66203,0.66299,21338
2020-01-14,0.663,0.66339,0.66034,0.66137,20815
2020-01-15,0.66103,0.66206,0.65839,0.66181,18938
2020-01-16,0.66163,0.66652,0.66155,0.66336,21451
2020-01-17,0.66324,0.66505,0.66071,0.66099,18907
2020-01-20,0.66095,0.66243,0.65922,0.66099,13380
2020-01-21,0.66068,0.6615,0.65878,0.65951,20992
2020-01-22,0.65951,0.66106,0.65814,0.65948,17675
2020-01-23,0.65909,0.66238,0.6581,0.66186,23578
2020-01-24,0.66156,0.66292,0.65991,0.66089,18761
2020-01-27,0.65826,0.65969,0.65422,0.6545,21074
2020-01-28,0.65425,0.65502,0.65208,0.65465,18404
2020-01-29,0.65454,0.65472,0.65057,0.6527,17887
2020-01-30,0.6525,0.65301,0.64801,0.64908,22470
2020-01-31,0.64895,0.64949,0.6454,0.64638,23697
2020-02-03,0.64684,0.64771,0.64527,0.64633,25804
2020-02-04,0.64609,0.65018,0.64495,0.64954,23508
2020-02-05,0.64903,0.65029,0.64691,0.64748,24816
2020-02-06,0.6474,0.64839,0.64538,0.64582,19564
2020-02-07,0.64567,0.6464,0.63981,0.64021,21809
2020-02-10,0.6403,0.64173,0.63819,0.63836,24006
2020-02-11,0.63814,0.6421,0.63783,0.64036,22538
2020-02-12,0.64003,0.64876,0.64003,0.64632,25058
2020-02-13,0.6463,0.64667,0.64285,0.64375,25624
2020-02-14,0.64373,0.64443,0.6423,0.64335,16422
2020-02-17,0.64459,0.64476,0.64204,0.6437,15083
2020-02-18,0.6434,0.64415,0.63814,0.63862,19171
2020-02-19,0.63845,0.64108,0.63709,0.63856,17794
2020-02-20,0.6377,0.63949,0.63249,0.63324,24748
2020-02-21,0.63279,0.63569,0.63032,0.63517,23668
2020-02-24,0.63154,0.63562,0.63035,0.63395,30624
2020-02-25,0.63356,0.63585,0.63111,0.63216,27495
2020-02-26,0.63187,0.63226,0.62874,0.62886,31794
2020-02-27,0.62868,0.63346,0.62834,0.63066,37081
2020-02-28,0.63057,0.63185,0.61913,0.62465,52228
2020-03-02,0.6204,0.62789,0.62019,0.62604,39093
2020-03-03,0.62472,0.63253,0.62466,0.62753,36748
2020-03-04,0.62727,0.63047,0.62658,0.62978,24728
2020-03-05,0.6297,0.63341,0.62804,0.63091,21728
2020-03-06,0.62998,0.63724,0.62941,0.63561,34781
2020-03-09,0.63097,0.64478,0.60014,0.63336,60941
2020-03-10,0.63309,0.63592,0.62423,0.62637,43564
2020-03-11,0.62651,0.63419,0.62534,0.62693,33332
2020-03-12,0.62627,0.62761,0.60847,0.60922,69904
2020-03-13,0.60839,0.61603,0.60174,0.60628,51096
2020-03-16,0.60162,0.6151,0.59828,0.6044,56094
2020-03-17,0.60403,0.60956,0.59152,0.59396,44969
2020-03-18,0.59349,0.59677,0.56949,0.57483,59685
2020-03-19,0.57235,0.59175,0.54687,0.56674,67067
2020-03-20,0.56697,0.58806,0.56071,0.57029,63845
2020-03-23,0.56619,0.57369,0.55904,0.56964,52386
2020-03-24,0.56941,0.58395,0.56864,0.58271,41075
2020-03-25,0.58281,0.59121,0.57876,0.5844,38772
2020-03-26,0.58423,0.5988,0.57773,0.59586,41639
2020-03-27,0.59519,0.6069,0.59097,0.60418,38776
2020-03-30,0.60236,0.60631,0.59835,0.60133,40761
2020-03-31,0.60069,0.60382,0.59092,0.59642,44894
2020-04-01,0.59558,0.5982,0.58789,0.59192,35085
2020-04-02,0.59149,0.59733,0.58805,0.59197,32588
2020-04-03,0.59119,0.59224,0.58433,0.5859,29147
2020-04-06,0.58684,0.59633,0.58502,0.59273,30381
2020-04-07,0.59276,0.60156,0.59199,0.59746,33385
2020-04-08,0.59649,0.60305,0.59402,0.60078,29212
2020-04-09,0.59943,0.60963,0.59852,0.60801,28630
2020-04-10,0.60699,0.61029,0.60513,0.60655,11481
2020-04-13,0.60659,0.61103,0.60596,0.60899,19429
2020-04-14,0.60826,0.61304,0.60652,0.61061,25938
2020-04-15,0.61016,0.61084,0.5955,0.59974,27832
2020-04-16,0.59816,0.59993,0.59215,0.59593,32860
2020-04-17,0.59591,0.60509,0.59589,0.60322,31219
2020-04-20,0.60249,0.60918,0.60088,0.60382,24809
2020-04-21,0.60317,0.60446,0.59337,0.59681,28365
2020-04-22,0.59596,0.60039,0.59401,0.59531,24068
2020-04-23,0.59459,0.60416,0.59104,0.60077,27145
2020-04-24,0.60039,0.60185,0.5976,0.60179,21006
2020-04-27,0.59991,0.60752,0.59981,0.60473,20170
2020-04-28,0.60456,0.6073,0.59919,0.60581,22601
2020-04-29,0.60509,0.61335,0.60494,0.61314,20899
