Date,Open,High,Low,Close,Volume
2020-01-02,0.966,0.97328,0.96563,0.97115,22761
2020-01-03,0.97121,0.97436,0.96882,0.9724,28169
2020-01-06,0.97058,0.97166,0.96762,0.96774,24143
2020-01-07,0.96772,0.97295,0.96771,0.97057,25163
2020-01-08,0.97008,0.97397,0.96652,0.97384,41852
2020-01-09,0.97349,0.97482,0.97113,0.97323,24881
2020-01-10,0.97306,0.97621,0.972,0.97283,21826
2020-01-13,0.97214,0.97364,0.96942,0.97096,18899
2020-01-14,0.97056,0.97133,0.96655,0.96749,25034
2020-01-15,0.96688,0.96801,0.96304,0.96404,24646
2020-01-16,0.96404,0.96522,0.9613,0.96511,24149
2020-01-17,0.96448,0.96956,0.96447,0.9677,23022
2020-01-20,0.96748,0.96993,0.96698,0.9678,15127
2020-01-21,0.96801,0.96898,0.96612,0.96872,24575
2020-01-22,0.96861,0.97289,0.9678,0.96787,24004
2020-01-23,0.96773,0.97035,0.96687,0.96905,28865
2020-01-24,0.96886,0.97181,0.9686,0.97103,22820
2020-01-27,0.97005,0.97192,0.96818,0.96953,25609
2020-01-28,0.96921,0.97415,0.96789,0.97308,20967
2020-01-29,0.9729,0.97667,0.97259,0.97355,19845
2020-01-30,0.973,0.97365,0.96799,0.96954,27370
2020-01-31,0.96919,0.9713,0.96291,0.96333,30876
2020-02-03,0.96303,0.96709,0.96297,0.96619,31506
2020-02-04,0.9657,0.97042,0.9653,0.96933,27235
2020-02-05,0.96905,0.97477,0.96781,0.9736,30104
2020-02-06,0.97349,0.97565,0.97312,0.97468,25885
2020-02-07,0.97459,0.97813,0.97396,0.97761,31826
2020-02-10,0.97627,0.97838,0.97627,0.97743,32653
2020-02-11,0.97705,0.9789,0.97509,0.97577,30701
2020-02-12,0.97572,0.97852,0.97411,0.97838,30580
2020-02-13,0.97802,0.97949,0.97608,0.97944,32598
2020-02-14,0.97895,0.98222,0.9785,0.98214,22922
2020-02-17,0.98146,0.98269,0.98079,0.98088,16488
2020-02-18,0.98078,0.98393,0.97966,0.98303,24471
2020-02-19,0.98307,0.98447,0.9826,0.98381,23201
2020-02-20,0.98368,0.98485,0.98154,0.98426,32903
2020-02-21,0.98417,0.98447,0.97709,0.97822,31233
2020-02-24,0.97964,0.98157,0.9765,0.97906,44113
2020-02-25,0.97883,0.98047,0.97511,0.97591,47968
2020-02-26,0.97593,0.97787,0.97288,0.97683,48540
2020-02-27,0.97663,0.97709,0.9675,0.96804,51958
2020-02-28,0.96752,0.96956,0.96102,0.96534,67692
2020-03-02,0.9629,0.9655,0.95438,0.95941,58691
2020-03-03,0.95862,0.95971,0.95158,0.95617,55809
2020-03-04,0.9559,0.95971,0.95325,0.95716,39179
2020-03-05,0.95653,0.95719,0.94464,0.94519,40785
2020-03-06,0.94505,0.94666,0.93183,0.93745,78071
2020-03-09,0.93241,0.93359,0.91831,0.92492,70012
2020-03-10,0.92526,0.94112,0.92363,0.93979,77397
2020-03-11,0.93887,0.94018,0.93245,0.93794,64356
2020-03-12,0.93818,0.95518,0.93213,0.94463,72168
2020-03-13,0.94421,0.95691,0.94222,0.95127,87784
2020-03-16,0.94787,0.95254,0.93919,0.94711,106399
2020-03-17,0.94674,0.96486,0.94437,0.96112,95433
2020-03-18,0.96099,0.97505,0.95663,0.96827,101056
2020-03-19,0.96753,0.98781,0.9638,0.98583,110329
2020-03-20,0.98557,0.99004,0.97438,0.98549,119256
2020-03-23,0.9839,0.98997,0.97901,0.9843,83786
2020-03-24,0.9845,0.98465,0.97185,0.98078,61557
2020-03-25,0.98157,0.98339,0.97542,0.97677,58681
2020-03-26,0.97676,0.97752,0.96031,0.96325,57748
2020-03-27,0.96251,0.9655,0.95052,0.95064,56538
2020-03-30,0.9528,0.96107,0.95001,0.95901,46266
2020-03-31,0.95812,0.9686,0.95642,0.96165,50869
2020-04-01,0.96062,0.96912,0.95991,0.96553,45423
2020-04-02,0.96539,0.97502,0.96435,0.97349,43227
2020-04-03,0.97228,0.97958,0.97205,0.97636,37729
2020-04-06,0.97554,0.97971,0.97502,0.97842,40486
2020-04-07,0.97799,0.97923,0.96855,0.96957,40894
2020-04-08,0.96937,0.97431,0.96879,0.9723,36151
2020-04-09,0.97151,0.97336,0.96482,0.96595,38309
2020-04-10,0.96627,0.96736,0.96399,0.96495,18866
2020-04-13,0.96511,0.96867,0.96298,0.96759,25787
2020-04-14,0.96647,0.96786,0.95962,0.96045,33944
2020-04-15,0.96007,0.97002,0.95929,0.9644,32878
2020-04-16,0.9645,0.97158,0.96439,0.97016,38651
2020-04-17,0.97014,0.9724,0.96562,0.96699,37579
2020-04-20,0.96647,0.96998,0.96556,0.96775,30319
2020-04-21,0.96784,0.97273,0.96702,0.96969,35586
2020-04-22,0.96871,0.97318,0.96687,0.97176,29526
2020-04-23,0.97083,0.97723,0.97054,0.97603,35238
2020-04-24,0.97556,0.98027,0.97274,0.97295,30619
2020-04-27,0.9723,0.9767,0.97122,0.97555,27952
2020-04-28,0.97455,0.97997,0.97203,0.97487,28575
2020-04-29,0.9749,0.97677,0.97124,0.97395,28381
2020-04-30,0.97333,0.97592,0.96386,0.96538,35897
2020-05-01,0.96519,0.96693,0.95888,0.9611,27484
2020-05-04,0.9617,0.96627,0.96111,0.96561,27666
2020-05-05,0.96473,0.97348,0.96459,0.97297,26487
2020-05-06,0.972,0.97587,0.97195,0.97489,28196
2020-05-07,0.97509,0.97843,0.9729,0.97298,28141
2020-05-08,0.97295,0.97371,0.96811,0.97098,23247
2020-05-11,0.97223,0.97366,0.97003,0.97225,24806
2020-05-12,0.97294,0.97498,0.96649,0.96962,25943
2020-05-13,0.9693,0.97261,0.96654,0.97224,27174
2020-05-14,0.97201,0.97553,0.97135,0.9733,28054
2020-05-15,0.97303,0.97445,0.96982,0.97195,26359
2020-05-18,0.97222,0.97608,0.96767,0.97134,25918
2020-05-19,0.97112,0.97288,0.96986,0.97159,25620
2020-05-20,0.97099,0.97164,0.96383,0.96473,22228
2020-05-21,0.96473,0.97132,0.96444,0.97053,22525
2020-05-22,0.97046,0.9733,0.96972,0.9712,20518
2020-05-25,0.97122,0.97361,0.97043,0.97158,14768
2020-05-26,0.97184,0.97227,0.96465,0.9655,22379
2020-05-27,0.96535,0.97282,0.9652,0.96814,31657
2020-05-28,0.96858,0.97192,0.96306,0.96391,29379
2020-05-29,0.96417,0.96504,0.96018,0.9612,33922
2020-06-01,0.96139,0.9625,0.95792,0.96113,28625
2020-06-02,0.96081,0.96375,0.95734,0.96241,30998
2020-06-03,0.96218,0.96477,0.96067,0.96113,34710
2020-06-04,0.9613,0.96238,0.95438,0.95554,32082
2020-06-05,0.95542,0.96506,0.95421,0.96224,31283
2020-06-08,0.96198,0.96392,0.95557,0.95766,24261
2020-06-09,0.95764,0.95856,0.94824,0.95075,27543
2020-06-10,0.95065,0.95148,0.9425,0.94363,30094
2020-06-11,0.94413,0.94604,0.93762,0.94423,37893
2020-06-12,0.94412,0.95535,0.94247,0.95196,33571
2020-06-15,0.95289,0.95469,0.948,0.94911,31980
2020-06-16,0.94904,0.9523,0.94636,0.9511,29946
2020-06-17,0.95084,0.9529,0.94813,0.94873,29189
2020-06-18,0.94854,0.95249,0.94824,0.95142,27755
2020-06-19,0.95094,0.95307,0.94878,0.95242,26340
2020-06-22,0.95136,0.95271,0.94652,0.94737,22840
2020-06-23,0.94711,0.94937,0.94203,0.9448,27514
2020-06-24,0.94439,0.94861,0.94332,0.94805,24633
2020-06-25,0.94755,0.95083,0.94742,0.94838,25172
2020-06-26,0.94844,0.94998,0.94676,0.94828,20775
2020-06-29,0.94753,0.95252,0.94418,0.95118,20800
2020-06-30,0.9513,0.95325,0.94616,0.9473,23374
2020-07-01,0.94673,0.94937,0.94451,0.94579,24573
2020-07-02,0.94586,0.94651,0.94266,0.9453,21370
2020-07-03,0.94574,0.94702,0.94379,0.9438,19787
2020-07-06,0.94521,0.94534,0.93846,0.94222,20205
2020-07-07,0.94193,0.94533,0.94084,0.94256,20569
2020-07-08,0.94242,0.94325,0.93701,0.93832,22664
2020-07-09,0.93827,0.94106,0.93625,0.94044,24400
2020-07-10,0.94022,0.94314,0.93847,0.94134,19715
2020-07-13,0.94048,0.94376,0.93923,0.9417,20469
2020-07-14,0.94172,0.94244,0.93801,0.94005,23116
2020-07-15,0.9395,0.94574,0.93702,0.94443,21769
2020-07-16,0.94481,0.94678,0.94294,0.94553,21409
2020-07-17,0.94554,0.94588,0.93804,0.93876,17178
2020-07-20,0.93996,0.94102,0.9374,0.93879,21476
2020-07-21,0.93928,0.93981,0.93213,0.93341,23232
2020-07-22,0.93311,0.93515,0.92867,0.92962,26440
2020-07-23,0.9295,0.92994,0.92456,0.92558,26313
