Date,Open,High,Low,Close,Volume
2020-01-02,108.742,108.866,108.213,108.545,25059
2020-01-03,108.564,108.63,107.842,108.113,43681
2020-01-06,107.898,108.507,107.772,108.377,38670
2020-01-07,108.338,108.63,108.26,108.484,35667
2020-01-08,108.45,109.244,107.652,109.141,66136
2020-01-09,109.091,109.583,109.014,109.522,35674
2020-01-10,109.524,109.689,109.437,109.506,26785
2020-01-13,109.534,109.946,109.506,109.943,22223
2020-01-14,109.927,110.212,109.858,110.0,31816
2020-01-15,109.98,110.012,109.789,109.907,27537
2020-01-16,109.892,110.178,109.846,110.168,23363
2020-01-17,110.156,110.29,110.049,110.167,23394
2020-01-20,110.106,110.216,110.104,110.175,15970
2020-01-21,110.172,110.222,109.759,109.862,35628
2020-01-22,109.863,110.096,109.827,109.847,28842
2020-01-23,109.829,109.862,109.265,109.477,36800
2020-01-24,109.484,109.652,109.171,109.283,33676
2020-01-27,108.954,109.136,108.729,108.894,52368
2020-01-28,108.892,109.201,108.756,109.152,37858
2020-01-29,109.143,109.269,108.976,109.037,33061
2020-01-30,108.987,109.064,108.582,108.956,56133
2020-01-31,108.941,109.135,108.311,108.353,51890
2020-02-03,108.41,108.797,108.315,108.688,49319
2020-02-04,108.673,109.543,108.548,109.518,39757
2020-02-05,109.455,109.843,109.302,109.832,45081
2020-02-06,109.804,110.002,109.691,109.985,35526
2020-02-07,109.988,110.022,109.532,109.78,41373
2020-02-10,109.686,109.877,109.56,109.769,37544
2020-02-11,109.759,109.961,109.726,109.786,27320
2020-02-12,109.783,110.133,109.762,110.109,27727
2020-02-13,110.071,110.09,109.618,109.823,41868
2020-02-14,109.812,109.911,109.698,109.78,37072
2020-02-17,109.797,109.961,109.718,109.882,25455
2020-02-18,109.871,109.946,109.656,109.875,38481
2020-02-19,109.868,111.59,109.848,111.349,39513
2020-02-20,111.336,112.223,111.111,112.105,62050
2020-02-21,112.092,112.186,111.471,111.571,58052
2020-02-24,111.387,111.682,110.332,110.719,73163
2020-02-25,110.676,111.041,109.889,110.188,96637
2020-02-26,110.155,110.701,110.128,110.409,101572
2020-02-27,110.38,110.456,109.618,109.661,114793
2020-02-28,109.57,109.68,107.508,108.061,135439
2020-03-02,107.617,108.576,107.368,108.34,116690
2020-03-03,108.3,108.535,107.049,107.103,100638
2020-03-04,107.11,107.686,106.846,107.55,84292
2020-03-05,107.507,107.74,105.968,106.141,87533
2020-03-06,106.129,106.341,104.993,105.349,118280
2020-03-09,104.306,104.588,101.18,102.423,127087
2020-03-10,102.342,105.916,102.004,105.6,135821
2020-03-11,105.62,105.62,104.092,104.47,117945
2020-03-12,104.465,106.101,103.09,104.656,126407
2020-03-13,104.589,108.497,104.504,107.999,139176
2020-03-16,107.042,107.565,105.142,105.968,137814
2020-03-17,105.938,107.86,105.824,107.628,178913
2020-03-18,107.628,108.651,106.752,108.066,167165
2020-03-19,108.048,110.955,107.843,110.607,171177
2020-03-20,110.678,111.505,109.327,110.855,140877
2020-03-23,110.784,111.591,109.666,111.254,100691
2020-03-24,111.051,111.712,110.085,111.239,77985
2020-03-25,111.215,111.674,110.753,111.2,79068
2020-03-26,111.195,111.291,109.205,109.588,80781
2020-03-27,109.472,109.692,107.76,107.976,68556
2020-03-30,107.68,108.291,107.123,107.905,61471
2020-03-31,107.726,108.724,107.459,107.51,64033
2020-04-01,107.488,107.937,106.92,107.165,56519
2020-04-02,107.143,108.092,107.019,107.857,56799
2020-04-03,107.828,108.671,107.799,108.457,50149
2020-04-06,108.363,109.379,108.348,109.2,55633
2020-04-07,109.22,109.277,108.671,108.797,56268
2020-04-08,108.746,109.095,108.504,108.852,49510
2020-04-09,108.818,109.062,108.207,108.495,46348
2020-04-10,108.407,108.587,108.33,108.385,16957
2020-04-13,108.422,108.525,107.5,107.749,35955
2020-04-14,107.752,107.756,106.979,107.209,35863
2020-04-15,107.134,107.868,106.928,107.431,40510
2020-04-16,107.353,108.082,107.164,107.859,43604
2020-04-17,107.908,108.078,107.3,107.552,44828
2020-04-20,107.412,107.947,107.397,107.633,33775
2020-04-21,107.618,107.891,107.282,107.758,40405
2020-04-22,107.693,107.934,107.515,107.719,33626
2020-04-23,107.686,108.041,107.346,107.623,37738
2020-04-24,107.545,107.758,107.369,107.488,33561
2020-04-27,107.579,107.621,106.992,107.256,32052
2020-04-28,107.164,107.338,106.559,106.859,33608
2020-04-29,106.867,106.892,106.357,106.582,32797
2020-04-30,106.543,107.497,106.405,107.155,40717
2020-05-01,107.098,107.403,106.604,106.915,35204
2020-05-04,106.773,107.068,106.634,106.718,28826
2020-05-05,106.733,106.893,106.417,106.531,28730
2020-05-06,106.417,106.656,105.986,106.085,30729
2020-05-07,106.077,106.655,105.99,106.266,33268
2020-05-08,106.285,106.747,106.223,106.682,30144
2020-05-11,106.537,107.768,106.488,107.626,31741
2020-05-12,107.627,107.693,107.123,107.149,30079
2020-05-13,107.141,107.277,106.743,107.035,32166
2020-05-14,107.036,107.364,106.776,107.232,30828
2020-05-15,107.25,107.433,106.857,107.167,29017
2020-05-18,107.085,107.503,107.068,107.303,27779
2020-05-19,107.274,108.087,107.272,107.711,29625
2020-05-20,107.701,107.986,107.337,107.546,25133
2020-05-21,107.523,107.849,107.52,107.598,25764
2020-05-22,107.621,107.763,107.322,107.61,22038
2020-05-25,107.609,107.781,107.564,107.722,15214
2020-05-26,107.699,107.923,107.402,107.548,24939
2020-05-27,107.564,107.946,107.366,107.717,31985
2020-05-28,107.72,107.901,107.574,107.615,29834
2020-05-29,107.635,107.897,107.084,107.789,37374
2020-06-01,107.681,107.856,107.382,107.579,27937
2020-06-02,107.56,108.771,107.514,108.681,31374
2020-06-03,108.672,108.982,108.423,108.927,35635
2020-06-04,108.902,109.198,108.616,109.167,35118
2020-06-05,109.153,109.85,109.046,109.592,35790
2020-06-08,109.615,109.693,108.235,108.442,30905
2020-06-09,108.438,108.542,107.622,107.744,37575
2020-06-10,107.704,107.873,106.992,107.143,37466
2020-06-11,107.11,107.234,106.576,106.865,42764
2020-06-12,106.883,107.554,106.588,107.352,43454
2020-06-15,107.309,107.569,107.001,107.354,35356
2020-06-16,107.317,107.639,107.213,107.291,35640
2020-06-17,107.323,107.443,106.953,107.003,26863
2020-06-18,106.972,107.129,106.669,106.975,32528
2020-06-19,106.964,107.057,106.768,106.873,26527
2020-06-22,106.776,107.011,106.764,106.867,26170
2020-06-23,106.884,107.221,106.073,106.532,35476
2020-06-24,106.496,107.071,106.385,107.062,33437
2020-06-25,107.054,107.453,106.988,107.173,30718
2020-06-26,107.199,107.359,106.801,107.222,27752
2020-06-29,107.102,107.884,107.041,107.582,27485
2020-06-30,107.57,107.984,107.521,107.935,29744
2020-07-01,107.937,108.163,107.362,107.455,28385
2020-07-02,107.434,107.723,107.333,107.496,24483
2020-07-03,107.517,107.568,107.435,107.49,15175
2020-07-06,107.466,107.773,107.258,107.392,21009
2020-07-07,107.352,107.79,107.246,107.537,22544
2020-07-08,107.531,107.711,107.203,107.254,21743
2020-07-09,107.251,107.398,107.098,107.203,25692
2020-07-10,107.199,107.264,106.65,106.918,22707
2020-07-13,106.884,107.319,106.788,107.287,21735
2020-07-14,107.269,107.427,107.119,107.24,24088
2020-07-15,107.188,107.308,106.666,106.942,23772
2020-07-16,106.934,107.4,106.833,107.276,23991
2020-07-17,107.225,107.362,106.94,107.023,18533
2020-07-20,107.075,107.528,107.017,107.286,22532
2020-07-21,107.149,107.366,106.687,106.804,24599
2020-07-22,106.763,107.289,106.71,107.16,24980
2020-07-23,107.128,107.23,106.712,106.871,21399
2020-07-24,106.848,106.895,105.683,106.124,29908
2020-07-27,106.03,106.107,105.118,105.378,32822
2020-07-28,105.412,105.686,104.957,105.09,33594
2020-07-29,105.06,105.242,104.772,104.946,32740
2020-07-30,104.905,105.293,104.681,104.738,35450
2020-07-31,104.736,106.056,104.188,105.931,45474
2020-08-03,105.771,106.472,105.582,105.955,43579
2020-08-04,105.938,106.194,105.638,105.734,31766
2020-08-05,105.711,105.872,105.321,105.592,33353
2020-08-06,105.602,105.697,105.301,105.527,33104
2020-08-07,105.519,106.052,105.483,105.916,32314
2020-08-10,105.869,106.199,105.708,105.961,23375
2020-08-11,105.947,106.683,105.914,106.498,33047
2020-08-12,106.527,107.014,106.441,106.873,36344
2020-08-13,106.841,107.048,106.565,106.921,33997
2020-08-14,106.914,107.037,106.436,106.57,28039
2020-08-17,106.562,106.655,105.944,106.001,28723
2020-08-18,105.974,106.054,105.284,105.397,33774
2020-08-19,105.423,106.15,105.103,106.108,39280
2020-08-20,106.114,106.216,105.745,105.787,40203
2020-08-21,105.787,106.071,105.444,105.818,34475
2020-08-24,105.768,105.996,105.689,105.987,28437
2020-08-25,105.974,106.577,105.873,106.395,33405
2020-08-26,106.351,106.556,105.956,105.984,30632
2020-08-27,105.998,106.7,105.605,106.571,38271
2020-08-28,106.562,106.946,105.202,105.345,44419
