Date,Open,High,Low,Close,Volume
2006-01-13,6.0777,6.0983,5.99,6.017,2178
2006-01-16,6.014,6.02,5.963,6.0,1355
2006-01-17,6.001,6.049,5.974,6.02,1674
2006-01-18,6.021,6.075,6.021,6.059,1805
2006-01-19,6.057,6.06,5.964,5.977,1825
2006-01-20,5.978,6.022,5.969,5.9985,1595
2006-01-23,6.008,6.009,5.951,5.955,1655
2006-01-24,5.9559999999999995,6.065,5.955,6.014,1699
2006-01-25,6.013,6.049,6.003,6.042,1460
2006-01-26,6.045,6.112,6.04,6.102,1431
2006-01-27,6.1019,6.149,6.08,6.1398,1652
2006-01-30,6.1359,6.18,6.077,6.11,1457
2006-01-31,6.112,6.12,6.051,6.055,1876
2006-02-01,6.053,6.121,6.052,6.095,1794
2006-02-02,6.1,6.139,6.06,6.073,1766
2006-02-03,6.078,6.12,6.06,6.089,1538
2006-02-06,6.062,6.141,6.057,6.105,1159
2006-02-07,6.107,6.203,6.091,6.19,1621
2006-02-08,6.189,6.255,6.167,6.175,1960
2006-02-09,6.174,6.18,6.082,6.105,1725
2006-02-10,6.108,6.146,6.073,6.1325,1522
2006-02-13,6.125,6.203,6.12,6.145,1857
2006-02-14,6.15,6.189,6.116,6.12,1775
2006-02-15,6.119,6.132,6.046,6.07,2013
2006-02-16,6.071,6.117,6.046,6.052,1582
2006-02-17,6.058,6.085,5.99,6.0225,4122
2006-02-20,6.015,6.046,6.01,6.016,864
2006-02-21,6.017,6.081,6.017,6.062,1208
2006-02-22,6.065,6.152,6.063,6.069,1636
2006-02-23,6.072,6.117,6.059,6.109,1298
2006-02-24,6.11,6.143,6.088,6.1017,1256
2006-02-27,6.095,6.196,6.095,6.175,1245
2006-02-28,6.169,6.205,6.148,6.16,1926
2006-03-01,6.156,6.179,6.147,6.16,1042
2006-03-02,6.159,6.161,6.097,6.109,1797
2006-03-03,6.102,6.208,6.099,6.1723,2062
2006-03-06,6.168,6.247,6.164,6.223,1494
2006-03-07,6.22,6.345,6.218,6.246,2119
2006-03-08,6.248,6.333,6.237,6.295,1599
2006-03-09,6.3,6.305,6.237,6.263,1359
2006-03-10,6.265,6.329,6.23,6.253,1510
2006-03-13,6.254,6.274,6.188,6.242,3944
2006-03-14,6.239,6.295,6.21,6.216,1315
2006-03-15,6.22,6.225,6.17,6.181,1320
2006-03-16,6.18,6.237,6.166,6.175,1617
2006-03-17,6.174,6.226,6.171,6.2092,1516
2006-03-20,6.203,6.33,6.202,6.291,1433
2006-03-21,6.29,6.365,6.289,6.345,2352
2006-03-22,6.357,6.382,6.272,6.282,1987
2006-03-23,6.28,6.344,6.26,6.338,1617
2006-03-24,6.336,6.344,6.2535,6.2562,1293
2006-03-27,6.253,6.287,6.242,6.2620000000000005,1388
2006-03-28,6.269,6.293,6.2335,6.29,3402
2006-03-29,6.288,6.342,6.271,6.275,1721
2006-03-30,6.276,6.286,6.167,6.17,1758
2006-03-31,6.171,6.208,6.13,6.1605,1483
2006-04-03,6.17,6.198,6.088,6.1,1916
2006-04-04,6.105,6.112,6.009,6.039,1945
2006-04-05,6.04,6.059,6.006,6.022,1481
2006-04-06,6.027,6.077,5.975,6.062,1782
2006-04-07,6.056,6.1443,6.041,6.1315,1465
2006-04-10,6.126,6.165,6.09,6.145,1402
2006-04-11,6.146,6.163,6.086,6.119,1467
2006-04-12,6.118,6.146,6.094,6.112,1260
2006-04-13,6.12,6.156,6.099,6.12,1167
2006-04-14,6.1212,6.1355,6.1097,6.1175,115
2006-04-17,6.115,6.136,6.046,6.072,718
2006-04-18,6.075,6.092,5.973,5.973,1152
2006-04-19,5.974,6.003,5.949,5.955,1596
2006-04-20,5.9555,6.085,5.955,6.055,1566
2006-04-21,6.056,6.081,5.9712,5.9722,1157
2006-04-24,5.976,6.068,5.9559999999999995,6.046,1416
2006-04-25,6.045,6.094,6.028,6.088,1769
2006-04-26,6.089,6.181,6.085,6.14,2301
2006-04-27,6.15,6.201,6.134,6.163,1421
2006-04-28,6.16,6.171,5.9935,6.0,1874
2006-05-01,6.008,6.035,5.967,6.03,669
2006-05-02,6.029,6.072,6.018,6.026,1375
2006-05-03,6.02,6.076,5.993,6.035,1708
2006-05-04,6.034,6.134,6.017,6.0315,2074
2006-05-05,6.0287,6.0742,6.0115,6.059,3503
2006-05-08,6.0602,6.0949,6.0178,6.05,4307
2006-05-09,6.0515,6.1083,6.0175,6.0233,4053
2006-05-10,6.0255,6.0843,6.0175,6.055,4757
2006-05-11,6.06,6.1375,6.0265,6.09,4738
2006-05-12,6.0858,6.2925,6.0705,6.2925,4832
2006-05-15,6.2728,6.494,6.2666,6.4125,5841
2006-05-16,6.4137,6.44,6.329,6.3665,4988
2006-05-17,6.3675,6.447,6.2078,6.4375,6047
2006-05-18,6.4383,6.51,6.3573,6.455,5943
2006-05-19,6.441,6.567,6.378,6.475,3961
2006-05-22,6.479,6.666,6.479,6.531,2685
2006-05-23,6.5311,6.635,6.45,6.628,2810
2006-05-24,6.6530000000000005,6.692,6.55,6.5600000000000005,3148
2006-05-25,6.5601,6.625,6.5,6.504,2045
2006-05-26,6.5041,6.59,6.49,6.5205,1651
2006-05-29,6.545,6.545,6.4611,6.5158000000000005,1507
2006-05-30,6.51,6.7575,6.4647,6.6933,5935
2006-05-31,6.693,6.7428,6.6013,6.731,7912
2006-06-01,6.715,6.7739,6.5855,6.5974,6358
2006-06-02,6.5981,6.7035,6.564,6.6648,6157
2006-06-05,6.661,6.679,6.5988,6.6698,4568
2006-06-06,6.6695,6.805,6.6348,6.7745,5793
2006-06-07,6.771,6.785,6.6898,6.7348,6636
2006-06-08,6.7385,6.8382,6.7197,6.737,4925
2006-06-09,6.7435,6.7793,6.6388,6.7537,3902
2006-06-12,6.735,6.7928,6.675,6.7873,4559
2006-06-13,6.7868,6.8668,6.7765,6.8475,6146
2006-06-14,6.8445,6.897,6.8008,6.834,4057
2006-06-15,6.8345,6.9425,6.7935,6.8719,6104
2006-06-16,6.8663,6.9038,6.8135,6.8812,3516
2006-06-19,6.872,7.0111,6.8688,6.994,6475
2006-06-20,6.9935,7.1045,6.982,7.0788,9169
2006-06-21,7.0758,7.2137,7.05,7.1275,9736
2006-06-22,7.1502,7.405,7.0733,7.3505,11542
2006-06-23,7.357,7.53,7.3154,7.4217,7322
2006-06-26,7.4125,7.5024,7.3469,7.3696,7782
2006-06-27,7.3627,7.3835,7.2326,7.2952,6575
2006-06-28,7.3007,7.3415,7.1994,7.2363,7103
2006-06-29,7.2375,7.3533,7.1075,7.127,8219
2006-06-30,7.124,7.2302,7.0945,7.168,7173
2006-07-03,7.1585,7.1691,7.015,7.0251,6422
2006-07-04,7.019,7.0486,6.9883,7.0435,4569
2006-07-05,7.0438,7.2843,7.0088,7.27,6865
2006-07-06,7.2683,7.2855,7.1525,7.1733,6748
2006-07-07,7.1732,7.18,7.07,7.1457,6532
2006-07-10,7.1268,7.1495,7.0526,7.1145,4703
2006-07-11,7.1133,7.1608,7.0835,7.113,5835
2006-07-12,7.1112,7.175,7.0597,7.1545,6807
2006-07-13,7.1538,7.2603,7.1305,7.2188,8126
2006-07-14,7.217,7.2567,7.1651,7.1994,6236
2006-07-17,7.1963,7.2815,7.1637,7.2425,7725
2006-07-18,7.2426,7.2562999999999995,7.121,7.1306,7865
2006-07-19,7.13,7.2454,7.0379,7.049,6788
2006-07-20,7.055,7.0824,6.9399999999999995,6.9638,10163
2006-07-21,6.963,7.0457,6.9131,7.0271,8886
2006-07-24,7.0238,7.095,6.9915,7.0131,7277
2006-07-25,7.0175,7.0326,6.9326,7.007,8823
2006-07-26,7.0101,7.065,6.9455,6.9595,8094
2006-07-27,6.9728,6.9728,6.8084,6.8546,8779
2006-07-28,6.84,6.945,6.8355,6.87,6549
2006-07-31,6.8705,6.9475,6.8338,6.9387,6925
2006-08-01,6.933,6.9965,6.9,6.9415,8080
2006-08-02,6.9416,6.9565,6.8505,6.9,7259
2006-08-03,6.8899,6.9155,6.8366,6.86,6885
2006-08-04,6.8601,6.9025,6.7938,6.8175,6627
2006-08-07,6.8118,6.8478,6.7638,6.7963000000000005,6087
2006-08-08,6.7938,6.8387,6.777,6.803,6972
2006-08-09,6.8031,6.825,6.711,6.73,4979
2006-08-10,6.7301,6.8232,6.7175,6.755,7801
2006-08-11,6.7613,6.8288,6.7393,6.7917,4959
2006-08-14,6.7965,6.8735,6.763,6.856,5683
2006-08-15,6.8553,6.9089,6.8268,6.8509,5444
2006-08-16,6.8621,6.8816,6.7233,6.7578,6398
2006-08-17,6.76,6.83,6.7389,6.8149999999999995,6038
2006-08-18,6.8151,7.0605,6.8067,7.022,5101
2006-08-21,7.0293,7.0685,6.9815000000000005,7.033,5943
2006-08-22,7.0346,7.151,7.0243,7.125,7385
2006-08-23,7.1255,7.1718,7.0538,7.1495,6018
2006-08-24,7.1498,7.175,7.0888,7.1556,6329
2006-08-25,7.1543,7.1939,7.08,7.1875,5407
2006-08-28,7.1713000000000005,7.1973,7.128,7.1705,2268
2006-08-29,7.1729,7.19,7.085,7.085,2897
2006-08-30,7.1176,7.1176,7.0662,7.0796,2192
2006-08-31,7.0775,7.2189,7.0476,7.207,3469
2006-09-01,7.2109,7.2513,7.1782,7.2241,2155
2006-09-04,7.2276,7.2276,7.1523,7.1523,1673
2006-09-05,7.1504,7.1958,7.1486,7.1731,2851
2006-09-06,7.1735,7.3301,7.1569,7.3191,2873
2006-09-07,7.3041,7.4376,7.2858,7.3428,3738
2006-09-08,7.3425,7.4145,7.3221,7.3831,3074
2006-09-11,7.384,7.4744,7.3341,7.364,6211
2006-09-12,7.365,7.3916,7.3126999999999995,7.319,3293
2006-09-13,7.3275,7.3745,7.2876,7.2943,2672
2006-09-14,7.2925,7.4607,7.2851,7.4205,3347
2006-09-15,7.42,7.4425,7.3554,7.361,2841
2006-09-18,7.3755,7.4,7.2651,7.3025,3094
2006-09-19,7.303,7.3811,7.2937,7.365,4707
2006-09-20,7.365,7.4492,7.3422,7.4094999999999995,3249
2006-09-21,7.41,7.6233,7.358,7.6068,3804
2006-09-22,7.607,7.6946,7.585,7.6493,5006
2006-09-25,7.657,7.72,7.5733,7.6416,1290
2006-09-26,7.6426,7.6905,7.6251,7.635,1450
2006-09-27,7.6331,7.6638,7.5781,7.632,1931
2006-09-28,7.626,7.7112,7.5555,7.67,3828
2006-09-29,7.6725,7.7972,7.65,7.7782,2954
2006-10-02,7.7729,7.773,7.696,7.7301,3557
2006-10-03,7.73,7.889,7.6588,7.8715,4649
2006-10-04,7.8541,7.9733,7.8471,7.8645,4348
2006-10-05,7.8581,7.8867,7.7771,7.8126,4473
2006-10-06,7.805,7.8597,7.7486,7.8196,3627
2006-10-09,7.8182,7.8476,7.7589,7.8375,1982
2006-10-10,7.8326,7.8454,7.7094000000000005,7.7218,4376
2006-10-11,7.721,7.7703,7.6426,7.711,3703
2006-10-12,7.7101,7.7146,7.5076,7.5313,4796
2006-10-13,7.53,7.5578,7.4516,7.4851,3634
2006-10-16,7.477,7.5336,7.4573,7.5012,2986
2006-10-17,7.5011,7.6425,7.4836,7.6099,3859
2006-10-18,7.6081,7.6295,7.5556,7.6041,2440
2006-10-19,7.5978,7.5978,7.4924,7.5016,2659
2006-10-20,7.5067,7.5504999999999995,7.4875,7.5369,1532
2006-10-23,7.5297,7.7092,7.5169,7.6917,3189
2006-10-24,7.6992,7.7952,7.6847,7.714,3162
2006-10-25,7.715,7.7308,7.5483,7.5573,2994
2006-10-26,7.562,7.5723,7.4739,7.4977,2478
2006-10-27,7.4862,7.5565,7.3988,7.4087,2546
2006-10-30,7.4003,7.541,7.3965,7.5161999999999995,3088
2006-10-31,7.5012,7.601,7.3579,7.3662,4262
2006-11-01,7.3661,7.4145,7.2888,7.3879,6506
2006-11-02,7.3899,7.467,7.3475,7.422,2826
2006-11-03,7.425,7.4733,7.321,7.3858,2976
2006-11-06,7.3758,7.4102,7.3471,7.3631,2161
2006-11-07,7.3491,7.3515,7.2595,7.312,3042
2006-11-08,7.3157,7.3952,7.2826,7.316,3675
2006-11-09,7.3157,7.3724,7.1998,7.223,3426
2006-11-10,7.2379999999999995,7.2542,7.1992,7.2185,2385
2006-11-13,7.2245,7.2938,7.1982,7.2589,2771
2006-11-14,7.2639,7.2692,7.2202,7.2409,3289
2006-11-15,7.236,7.3435,7.1615,7.1952,3867
2006-11-16,7.1922,7.2780000000000005,7.1173,7.2501999999999995,3848
2006-11-17,7.2505,7.3263,7.239,7.2705,3079
2006-11-20,7.2749,7.3124,7.2074,7.2442,2040
2006-11-21,7.2445,7.2673,7.1864,7.2207,2577
2006-11-22,7.2184,7.2192,7.1393,7.1538,3117
2006-11-23,7.1536,7.2088,7.1283,7.2045,1540
2006-11-24,7.2038,7.2957,7.1245,7.1315,2877
2006-11-27,7.095,7.1591,7.0682,7.154,2217
2006-11-28,7.155,7.2275,7.1182,7.1205,4410
2006-11-29,7.1207,7.164,7.0882,7.138,2875
2006-11-30,7.133,7.2905,7.1115,7.1295,4845
2006-12-01,7.132,7.2418,7.1025,7.234,2590
2006-12-04,7.172,7.2099,7.122,7.141,1678
2006-12-05,7.142,7.163,7.0657,7.082,2672
2006-12-06,7.0824,7.125,7.0663,7.0742,2468
2006-12-07,7.0752,7.0999,6.9995,7.0485,2989
2006-12-08,7.0545,7.0912,7.015,7.0833,2228
2006-12-11,7.085,7.1115,7.0165,7.0295,1712
2006-12-12,7.029,7.0367,6.963,6.964,2594
2006-12-13,6.9645,7.0285,6.9407,6.9719999999999995,2483
2006-12-14,6.97,7.0227,6.957,6.9769,1984
2006-12-15,6.977,7.0577,6.9577,6.9692,2450
2006-12-18,6.9702,7.0417,6.9695,7.026,1689
2006-12-19,7.0265,7.0647,6.984,7.0167,2066
2006-12-20,7.0166,7.0187,6.9002,6.9073,1867
2006-12-21,6.9173,7.0232,6.9173,7.0041,2217
2006-12-22,7.0042,7.0453,6.9545,7.0351,1400
2006-12-26,7.0237,7.0637,7.014,7.059,166
