Date,Open,High,Low,Close,Volume
2020-01-02 00:00:00,76.259,76.321,76.098,76.239,4558
2020-01-02 04:00:00,76.238,76.279,76.068,76.138,4092
2020-01-02 08:00:00,76.139,76.24,76.06,76.161,5926
2020-01-02 12:00:00,76.161,76.189,75.956,76.048,6158
2020-01-02 16:00:00,76.051,76.076,75.672,75.796,10143
2020-01-02 20:00:00,75.798,75.875,75.755,75.872,4456
2020-01-03 00:00:00,75.891,75.902,75.438,75.454,5898
2020-01-03 04:00:00,75.455,75.522,75.209,75.257,10450
2020-01-03 08:00:00,75.257,75.297,74.925,74.966,10849
2020-01-03 12:00:00,74.966,75.214,74.854,75.119,9972
2020-01-03 16:00:00,75.117,75.251,75.074,75.176,11710
2020-01-03 20:00:00,75.177,75.191,75.005,75.086,6857
2020-01-06 00:00:00,74.893,75.207,74.734,74.916,10706
2020-01-06 04:00:00,74.916,75.073,74.909,74.96,6548
2020-01-06 08:00:00,74.964,75.15,74.858,75.106,10441
2020-01-06 12:00:00,75.105,75.191,75.038,75.083,7226
2020-01-06 16:00:00,75.081,75.16,74.853,75.141,9755
2020-01-06 20:00:00,75.14,75.271,75.136,75.231,4471
2020-01-07 00:00:00,75.169,75.239,75.104,75.168,6981
2020-01-07 04:00:00,75.168,75.263,74.952,74.957,5954
2020-01-07 08:00:00,74.959,75.025,74.703,74.764,11583
2020-01-07 12:00:00,74.763,74.77,74.446,74.459,8927
2020-01-07 16:00:00,74.459,74.617,74.371,74.552,11011
2020-01-07 20:00:00,74.552,74.582,74.349,74.512,4963
2020-01-08 00:00:00,74.456,74.546,73.759,74.168,18950
2020-01-08 04:00:00,74.166,74.639,74.146,74.401,14586
2020-01-08 08:00:00,74.405,74.689,74.401,74.528,12542
2020-01-08 12:00:00,74.528,74.737,74.45,74.628,11623
2020-01-08 16:00:00,74.628,75.043,74.427,75.014,12860
2020-01-08 20:00:00,75.014,75.067,74.841,74.951,6684
2020-01-09 00:00:00,74.901,75.149,74.842,75.095,6531
2020-01-09 04:00:00,75.095,75.132,74.98,75.13,4949
2020-01-09 08:00:00,75.13,75.201,74.979,75.044,8790
2020-01-09 12:00:00,75.046,75.159,74.985,75.12,7250
2020-01-09 16:00:00,75.119,75.151,74.975,75.036,7918
2020-01-09 20:00:00,75.037,75.111,74.959,75.11,5027
2020-01-10 00:00:00,75.101,75.294,75.012,75.091,7158
2020-01-10 04:00:00,75.098,75.402,75.066,75.366,4387
2020-01-10 08:00:00,75.366,75.425,75.277,75.393,5990
2020-01-10 12:00:00,75.393,75.521,75.351,75.432,7146
2020-01-10 16:00:00,75.429,75.672,75.385,75.603,9434
2020-01-10 20:00:00,75.603,75.698,75.539,75.544,3652
2020-01-13 00:00:00,75.555,75.778,75.505,75.76,5728
2020-01-13 04:00:00,75.759,75.859,75.72,75.836,3980
