Date,Open,High,Low,Close,Volume
1999-11-02 20:00:00,109.24,109.74,109.23,109.49,479
1999-11-03 00:00:00,109.5,109.75,109.09,109.44,1083
1999-11-03 04:00:00,109.45,109.63,109.08,109.25,1553
1999-11-03 08:00:00,109.25,109.37,108.69,109.16,1971
1999-11-03 12:00:00,109.18,109.83,108.78,109.78,2557
1999-11-03 16:00:00,109.71,110.28,109.62,109.97,2485
1999-11-03 20:00:00,109.96,110.25,109.87,109.99,509
1999-11-04 00:00:00,109.98,110.62,109.91,110.03,1308
1999-11-04 04:00:00,110.05,110.22,109.62,109.86,1441
1999-11-04 08:00:00,109.89,110.27,109.69,109.92,2623
1999-11-04 12:00:00,109.92,110.4,109.33,109.87,3847
1999-11-04 16:00:00,110.05,110.21,108.24,108.75,1560
1999-11-04 20:00:00,108.77,108.99,108.59,108.75,555
1999-11-05 00:00:00,108.78,109.15,108.58,108.96,1165
1999-11-05 04:00:00,108.95,109.25,108.81,108.88,1412
1999-11-05 08:00:00,108.87,109.69,108.84,109.44,2760
1999-11-05 12:00:00,109.43,110.42,109.35,110.3,3509
1999-11-05 16:00:00,110.3,110.93,110.3,110.49,1780
1999-11-05 20:00:00,110.52,110.84,110.42,110.56,618
1999-11-08 00:00:00,110.86,111.17,110.54,110.69,1426
1999-11-08 04:00:00,110.69,111.08,110.54,110.94,1490
1999-11-08 08:00:00,110.97,111.06,110.23,110.75,2933
1999-11-08 12:00:00,110.76,111.0,109.69,109.73,2897
1999-11-08 16:00:00,109.72,110.03,109.04,109.33,1682
1999-11-08 20:00:00,109.35,109.42,109.16,109.27,740
1999-11-09 00:00:00,109.25,109.37,109.16,109.32,424
1999-11-09 04:00:00,109.26,109.5,109.19,109.22,604
1999-11-09 08:00:00,109.27,109.6,109.05,109.49,1622
1999-11-09 12:00:00,109.41,109.6,109.17,109.57,1604
1999-11-09 16:00:00,109.54,109.62,108.87,109.0,1257
1999-11-09 20:00:00,108.95,109.28,108.89,109.14,608
1999-11-10 00:00:00,109.24,109.32,108.95,109.09,875
1999-11-10 04:00:00,109.08,109.19,108.82,109.12,1317
1999-11-10 08:00:00,109.11,109.42,108.9,109.33,1626
1999-11-10 12:00:00,109.3,109.52,109.05,109.13,2009
1999-11-10 16:00:00,109.14,109.3,108.76,109.07,2244
1999-11-10 20:00:00,109.07,109.38,109.03,109.23,564
1999-11-11 00:00:00,109.22,109.86,108.99,109.78,1190
1999-11-11 04:00:00,109.78,109.88,109.26,109.62,1903
1999-11-11 08:00:00,109.64,109.99,109.33,109.53,3899
1999-11-11 12:00:00,109.53,109.73,109.09,109.16,4890
