Date,Open,High,Low,Close,Volume
2025-12-02 12:25:00,89.13,89.155,89.127,89.154,41
2025-12-02 12:26:00,89.154,89.163,89.152,89.153,49
2025-12-02 12:27:00,89.152,89.152,89.145,89.149,30
2025-12-02 12:28:00,89.149,89.157,89.134,89.134,36
2025-12-02 12:29:00,89.137,89.149,89.136,89.148,32
2025-12-02 12:30:00,89.15,89.166,89.15,89.161,38
2025-12-02 12:31:00,89.16,89.164,89.152,89.157,37
2025-12-02 12:32:00,89.157,89.161,89.15,89.15,39
2025-12-02 12:33:00,89.151,89.157,89.149,89.155,27
2025-12-02 12:34:00,89.156,89.158,89.153,89.154,20
2025-12-02 12:35:00,89.153,89.156,89.149,89.156,25
2025-12-02 12:36:00,89.155,89.161,89.153,89.156,27
2025-12-02 12:37:00,89.159,89.16,89.156,89.158,22
2025-12-02 12:38:00,89.156,89.16,89.154,89.158,24
2025-12-02 12:39:00,89.16,89.16,89.155,89.155,18
2025-12-02 12:40:00,89.156,89.16,89.153,89.156,27
2025-12-02 12:41:00,89.155,89.158,89.152,89.155,27
2025-12-02 12:42:00,89.156,89.167,89.154,89.167,29
2025-12-02 12:43:00,89.167,89.17,89.156,89.16,21
2025-12-02 12:44:00,89.159,89.163,89.149,89.149,18
2025-12-02 12:45:00,89.15,89.154,89.145,89.153,32
2025-12-02 12:46:00,89.153,89.159,89.153,89.157,19
2025-12-02 12:47:00,89.158,89.16,89.153,89.16,23
2025-12-02 12:48:00,89.16,89.161,89.156,89.159,23
2025-12-02 12:49:00,89.158,89.16,89.144,89.145,27
2025-12-02 12:50:00,89.145,89.146,89.138,89.139,36
2025-12-02 12:51:00,89.135,89.142,89.134,89.139,29
2025-12-02 12:52:00,89.139,89.141,89.124,89.134,32
2025-12-02 12:53:00,89.135,89.137,89.13,89.13,26
2025-12-02 12:54:00,89.13,89.13,89.119,89.125,30
2025-12-02 12:55:00,89.124,89.125,89.111,89.116,31
2025-12-02 12:56:00,89.113,89.124,89.11,89.121,30
2025-12-02 12:57:00,89.122,89.144,89.121,89.144,27
2025-12-02 12:58:00,89.14,89.142,89.139,89.142,14
2025-12-02 12:59:00,89.143,89.147,89.137,89.14,19
2025-12-02 13:00:00,89.142,89.152,89.14,89.144,30
2025-12-02 13:01:00,89.145,89.148,89.139,89.141,30
2025-12-02 13:02:00,89.14,89.14,89.131,89.131,21
2025-12-02 13:03:00,89.132,89.139,89.132,89.138,14
2025-12-02 13:04:00,89.137,89.143,89.131,89.142,24
2025-12-02 13:05:00,89.143,89.147,89.137,89.144,25
2025-12-02 13:06:00,89.144,89.149,89.133,89.147,26
2025-12-02 13:07:00,89.146,89.158,89.146,89.152,28
2025-12-02 13:08:00,89.151,89.156,89.148,89.156,21
2025-12-02 13:09:00,89.155,89.156,89.149,89.156,16
2025-12-02 13:10:00,89.157,89.158,89.149,89.158,24
2025-12-02 13:11:00,89.162,89.166,89.159,89.16,20
2025-12-02 13:12:00,89.159,89.162,89.156,89.16,29
2025-12-02 13:13:00,89.161,89.169,89.159,89.169,23
2025-12-02 13:14:00,89.17,89.18,89.169,89.174,37
2025-12-02 13:15:00,89.174,89.18,89.171,89.18,31
2025-12-02 13:16:00,89.18,89.196,89.179,89.194,31
2025-12-02 13:17:00,89.193,89.195,89.187,89.189,25
2025-12-02 13:18:00,89.189,89.192,89.168,89.171,26
2025-12-02 13:19:00,89.171,89.171,89.162,89.167,33
2025-12-02 13:20:00,89.166,89.17,89.151,89.151,16
2025-12-02 13:21:00,89.147,89.155,89.139,89.152,23
2025-12-02 13:22:00,89.152,89.155,89.146,89.151,21
2025-12-02 13:23:00,89.147,89.149,89.14,89.142,26
2025-12-02 13:24:00,89.141,89.142,89.133,89.136,26
2025-12-02 13:25:00,89.135,89.135,89.128,89.128,33
2025-12-02 13:26:00,89.128,89.133,89.125,89.13,27
2025-12-02 13:27:00,89.129,89.135,89.129,89.132,21
2025-12-02 13:28:00,89.131,89.133,89.127,89.129,22
2025-12-02 13:29:00,89.13,89.144,89.13,89.143,21
2025-12-02 13:30:00,89.143,89.143,89.132,89.14,24
2025-12-02 13:31:00,89.14,89.142,89.135,89.136,28
2025-12-02 13:32:00,89.136,89.152,89.134,89.15,31
2025-12-02 13:33:00,89.146,89.148,89.137,89.138,27
2025-12-02 13:34:00,89.137,89.138,89.127,89.128,29
2025-12-02 13:35:00,89.126,89.129,89.118,89.121,32
2025-12-02 13:36:00,89.121,89.135,89.121,89.135,30
2025-12-02 13:37:00,89.134,89.141,89.133,89.14,26
2025-12-02 13:38:00,89.139,89.141,89.135,89.137,17
2025-12-02 13:39:00,89.137,89.146,89.134,89.135,28
2025-12-02 13:40:00,89.135,89.144,89.135,89.137,14
2025-12-02 13:41:00,89.136,89.146,89.136,89.146,25
