Date,Open,High,Low,Close,Volume
2023-04-03 23:00:00,132.449,132.453,132.352,132.386,962
2023-04-03 23:30:00,132.387,132.433,132.369,132.404,575
2023-04-04 00:00:00,132.397,132.418,132.374,132.418,53
2023-04-04 00:30:00,132.416,132.432,132.407,132.41,311
2023-04-04 01:00:00,132.42,132.424,132.322,132.373,2708
2023-04-04 01:30:00,132.374,132.43,132.321,132.348,885
2023-04-04 02:00:00,132.348,132.356,132.168,132.203,2346
2023-04-04 02:30:00,132.202,132.336,132.169,132.321,1392
2023-04-04 03:00:00,132.323,132.506,132.208,132.374,4327
2023-04-04 03:30:00,132.376,132.6,132.305,132.555,4435
2023-04-04 04:00:00,132.555,132.749,132.544,132.687,3262
2023-04-04 04:30:00,132.686,132.822,132.623,132.783,2933
2023-04-04 05:00:00,132.784,132.799,132.7,132.709,3340
2023-04-04 05:30:00,132.709,132.777,132.684,132.743,2322
2023-04-04 06:00:00,132.743,132.863,132.734,132.862,2515
2023-04-04 06:30:00,132.862,132.884,132.824,132.848,2336
2023-04-04 07:00:00,132.848,132.946,132.826,132.869,3055
2023-04-04 07:30:00,132.87,132.895,132.667,132.745,4544
2023-04-04 08:00:00,132.749,132.873,132.687,132.865,2765
2023-04-04 08:30:00,132.866,132.983,132.809,132.885,3388
2023-04-04 09:00:00,132.885,132.914,132.67,132.679,4668
2023-04-04 09:30:00,132.679,132.756,132.607,132.735,4358
2023-04-04 10:00:00,132.733,132.786,132.593,132.71,5587
2023-04-04 10:30:00,132.71,132.823,132.504,132.607,5111
2023-04-04 11:00:00,132.609,132.878,132.59,132.841,5546
2023-04-04 11:30:00,132.851,132.935,132.803,132.904,4596
2023-04-04 12:00:00,132.903,133.065,132.841,132.875,4726
2023-04-04 12:30:00,132.875,132.905,132.785,132.823,4953
2023-04-04 13:00:00,132.822,132.981,132.822,132.856,4393
2023-04-04 13:30:00,132.857,133.018,132.854,132.914,4411
2023-04-04 14:00:00,132.914,133.17,132.862,133.076,3598
2023-04-04 14:30:00,133.078,133.102,132.989,133.034,3003
2023-04-04 15:00:00,133.038,133.079,132.822,132.875,4403
2023-04-04 15:30:00,132.876,132.972,132.784,132.903,4594
2023-04-04 16:00:00,132.904,132.954,132.744,132.775,4303
2023-04-04 16:30:00,132.779,132.793,132.489,132.707,4389
2023-04-04 17:00:00,132.708,132.708,131.744,131.788,9223
2023-04-04 17:30:00,131.789,131.858,131.657,131.831,7079
2023-04-04 18:00:00,131.829,131.891,131.735,131.781,5937
2023-04-04 18:30:00,131.777,131.783,131.554,131.603,4694
2023-04-04 19:00:00,131.603,131.634,131.52,131.601,3287
2023-04-04 19:30:00,131.601,131.685,131.581,131.621,2192
2023-04-04 20:00:00,131.618,131.738,131.617,131.712,1821
2023-04-04 20:30:00,131.715,131.758,131.617,131.745,2107
2023-04-04 21:00:00,131.745,131.746,131.667,131.703,1422
2023-04-04 21:30:00,131.703,131.718,131.614,131.624,1762
2023-04-04 22:00:00,131.625,131.682,131.599,131.626,1139
2023-04-04 22:30:00,131.626,131.667,131.581,131.643,850
2023-04-04 23:00:00,131.643,131.669,131.635,131.669,466
2023-04-04 23:30:00,131.668,131.77,131.668,131.708,613
2023-04-05 00:00:00,131.705,131.705,131.677,131.677,2599
2023-04-05 00:30:00,131.677,131.724,131.677,131.714,701
2023-04-05 01:00:00,131.712,131.722,131.625,131.643,922
2023-04-05 01:30:00,131.649,131.719,131.634,131.681,868
2023-04-05 02:00:00,131.68,131.712,131.371,131.398,2547
2023-04-05 02:30:00,131.398,131.52,131.37,131.432,3003
2023-04-05 03:00:00,131.431,131.487,131.303,131.455,4238
2023-04-05 03:30:00,131.454,131.566,131.353,131.559,4908
2023-04-05 04:00:00,131.546,131.583,131.382,131.499,3941
2023-04-05 04:30:00,131.494,131.637,131.488,131.571,2883
2023-04-05 05:00:00,131.571,131.799,131.549,131.778,4755
2023-04-05 05:30:00,131.782,131.817,131.711,131.769,2841
2023-04-05 06:00:00,131.769,131.844,131.736,131.78,2033
2023-04-05 06:30:00,131.782,131.782,131.667,131.674,2694
2023-04-05 07:00:00,131.673,131.814,131.671,131.725,3222
2023-04-05 07:30:00,131.727,131.749,131.682,131.7,2749
2023-04-05 08:00:00,131.699,131.739,131.68,131.713,3111
2023-04-05 08:30:00,131.714,131.729,131.51,131.536,4296
2023-04-05 09:00:00,131.535,131.627,131.414,131.517,5625
2023-04-05 09:30:00,131.514,131.604,131.457,131.514,4904
2023-04-05 10:00:00,131.513,131.596,131.365,131.483,6313
2023-04-05 10:30:00,131.484,131.619,131.321,131.411,6901
2023-04-05 11:00:00,131.411,131.46,131.232,131.309,6453
2023-04-05 11:30:00,131.311,131.512,131.301,131.469,5898
2023-04-05 12:00:00,131.466,131.738,131.452,131.691,6157
2023-04-05 12:30:00,131.687,131.715,131.615,131.635,5231
2023-04-05 13:00:00,131.637,131.729,131.576,131.714,4741
2023-04-05 13:30:00,131.713,131.783,131.642,131.655,4401
2023-04-05 14:00:00,131.655,131.741,131.558,131.563,2699
2023-04-05 14:30:00,131.563,131.602,131.434,131.476,4008
2023-04-05 15:00:00,131.476,131.523,130.983,131.126,6636
2023-04-05 15:30:00,131.123,131.203,130.916,131.016,5974
2023-04-05 16:00:00,131.02,131.208,130.969,131.157,4957
2023-04-05 16:30:00,131.154,131.176,130.923,131.096,5564
2023-04-05 17:00:00,131.096,131.096,130.629,130.988,8342
2023-04-05 17:30:00,130.989,131.19,130.849,130.881,7056
2023-04-05 18:00:00,130.881,131.067,130.816,130.935,5182
2023-04-05 18:30:00,130.931,131.128,130.928,131.114,2226
2023-04-05 19:00:00,131.114,131.164,131.064,131.095,1804
2023-04-05 19:30:00,131.097,131.243,131.06,131.187,2532
2023-04-05 20:00:00,131.186,131.248,131.147,131.178,2186
2023-04-05 20:30:00,131.181,131.191,131.086,131.089,1725
2023-04-05 21:00:00,131.087,131.159,131.087,131.114,1672
2023-04-05 21:30:00,131.111,131.151,131.083,131.095,1883
2023-04-05 22:00:00,131.095,131.223,131.093,131.204,1796
2023-04-05 22:30:00,131.201,131.342,131.198,131.309,1971
2023-04-05 23:00:00,131.307,131.414,131.271,131.346,1294
2023-04-05 23:30:00,131.346,131.394,131.335,131.338,915
2023-04-06 00:00:00,131.315,131.332,131.259,131.319,613
2023-04-06 00:30:00,131.324,131.324,131.237,131.239,538
2023-04-06 01:00:00,131.239,131.269,131.172,131.232,1653
2023-04-06 01:30:00,131.232,131.24,131.099,131.11,1181
2023-04-06 02:00:00,131.109,131.111,130.847,130.88,2054
2023-04-06 02:30:00,130.88,130.954,130.818,130.936,2714
2023-04-06 03:00:00,130.937,130.946,130.774,130.912,2866
2023-04-06 03:30:00,130.905,131.183,130.901,131.158,3329
2023-04-06 04:00:00,131.161,131.292,131.148,131.224,3119
